N,M,total_closure_residual,best_pair_residual,pair_hits_lt1e-6,pair_exact_cover_count_capped100,best_triple_residual,triple_hits_lt1e-6,triple_exact_cover_count_capped100,roundrobin_min,roundrobin_mean,roundrobin_max,hamilton_min,hamilton_mean,hamilton_max
3,3,2.100090372495147e-15,0.47629698876658993,0,0,2.100090372495147e-15,1,1,1.0,1.0,1.0000000000000002,2.100090372495147e-15,2.100090372495147e-15,2.100090372495147e-15
4,6,4.132995337010885e-15,0.49998955323228456,0,0,2.5078510375201642e-15,8,4,0.9999999999999998,1.0,1.0000000000000002,,,
5,10,2.683486577255867e-15,1.879825521094725e-10,13,12,0.33333333207545784,0,0,0.08658395947735205,0.8165657031269491,1.0000000000000002,0.21724850436547935,0.21724850438759818,0.21724850440971705
6,15,4.1756462452560325e-15,0.17578171048369054,0,0,0.12073905981160364,0,0,0.6342952695243197,0.7992269714864032,0.9989582155547974,,,
7,21,4.104062458369461e-15,9.532232061723963e-05,0,0,0.031657360921421435,0,0,0.19759291155191963,0.5376813202598681,0.9300652795757661,0.12371545393082493,0.14088938707177656,0.17364232588049486
8,28,9.977058142340923e-16,0.0012048845238616128,0,0,0.007502277651501481,0,0,0.19461943270374898,0.3810087797787213,0.5734567974266062,,,
9,36,4.985507144742945e-15,0.00010144828837759574,0,0,0.12381233899526674,0,0,0.23915749895930508,0.4924715232491498,0.868619562953062,0.12510881596171536,0.22112368930474252,0.31253288661320644
10,45,5.5653403314582904e-15,5.543338265245182e-06,0,0,0.004738425919099937,0,0,0.08406051467122097,0.46033414743971107,0.8286572341475049,,,
11,55,1.2875014330850897e-15,0.00030783103065738055,0,0,0.022506460171643445,0,0,0.30562192974181907,0.5378312623630209,0.9620836675844168,0.09557594505971666,0.18034006125834606,0.28087987119577434
12,66,6.348546627358763e-15,0.00013756407399993426,0,0,0.0026851073827158164,0,0,0.15223806638689438,0.38913958311371116,0.9935470937126657,,,
13,78,6.129547889362197e-16,0.00048650797592678563,0,0,0.010016208009047572,0,0,0.030219594319026658,0.33158927138276273,0.6605702969142289,0.06423405886937684,0.17870624215503253,0.4434084869162505
14,91,1.9947358885585966e-15,0.00015443244293300066,0,0,0.007224643620888662,0,0,0.11931282398736313,0.3056055117739039,0.7517596531517651,,,
15,105,2.0609164675560653e-15,1.5958684870399987e-05,0,0,0.00854493491191399,0,0,0.16060340495511696,0.42407200336606543,0.7077796274144587,0.03398327244326009,0.12955691399890965,0.27286260213193275
16,120,6.7660442489004744e-15,0.00035057412648267864,0,0,0.003060627909393962,0,0,0.038512538190764084,0.3108907646786203,0.7477073564170545,,,
