N,M,decomposition,block_id,block_size,closure_residual,edges
3,3,round_robin_matching,0,1,1.0,2-3
3,3,round_robin_matching,1,1,1.0000000000000002,1-3
3,3,round_robin_matching,2,1,1.0,1-2
3,3,walecki_hamilton_cycle,0,3,2.100090372495147e-15,"1-3,1-2,2-3"
4,6,round_robin_matching,0,2,1.0,"1-4,2-3"
4,6,round_robin_matching,1,2,1.0000000000000002,"1-3,2-4"
4,6,round_robin_matching,2,2,0.9999999999999998,"1-2,3-4"
5,10,round_robin_matching,0,2,0.9999950613897048,"2-5,3-4"
5,10,round_robin_matching,1,2,0.9999974448881124,"1-5,2-3"
5,10,round_robin_matching,2,2,0.02007336947359913,"1-4,3-5"
5,10,round_robin_matching,3,2,0.9997269205311292,"1-3,2-4"
5,10,round_robin_matching,4,2,0.9999977783875861,"1-2,4-5"
5,10,walecki_hamilton_cycle,0,5,0.20110604509220423,"1-5,1-4,2-4,2-3,3-5"
5,10,walecki_hamilton_cycle,1,5,0.20110555023420368,"2-5,1-2,1-3,3-4,4-5"
6,15,round_robin_matching,0,3,0.6342952695243197,"1-6,2-5,3-4"
6,15,round_robin_matching,1,3,0.9986995221296237,"1-5,4-6,2-3"
6,15,round_robin_matching,2,3,0.673469128204904,"1-4,3-5,2-6"
6,15,round_robin_matching,3,3,0.9989582155547974,"1-3,2-4,5-6"
6,15,round_robin_matching,4,3,0.6907127220183713,"1-2,3-6,4-5"
7,21,round_robin_matching,0,3,0.31908971793849494,"2-7,3-6,4-5"
7,21,round_robin_matching,1,3,0.19759291155191963,"1-7,2-5,3-4"
7,21,round_robin_matching,2,3,0.6259454465687921,"1-6,5-7,2-3"
7,21,round_robin_matching,3,3,0.9300652795757661,"1-5,4-6,3-7"
7,21,round_robin_matching,4,3,0.3579444590380386,"1-4,3-5,2-6"
7,21,round_robin_matching,5,3,0.5164546062271896,"1-3,2-4,6-7"
7,21,round_robin_matching,6,3,0.8166768209188763,"1-2,4-7,5-6"
7,21,walecki_hamilton_cycle,0,7,0.17364232588049486,"1-7,1-6,2-6,2-5,3-5,3-4,4-7"
