step,H_total,H_parallel,H_perp,A_perp,f,ztz_re,ztz_im,abs_ztz,sigma_est,sigma_exact,branch
0,1.0000000000000002,1.0000000000000002,9.998716373851308e-25,9.999358166328131e-13,9.998716373851307e-25,-2.220446049250313e-16,8.440208949558779e-17,2.375447732271423e-16,3.740923395542135,3.7416573867739413,raw_K
1,1.0000000000000002,1.0000000000000002,9.948465353794547e-25,9.974199393332053e-13,9.948465353794545e-25,-4.440892098500626e-16,1.1951397627145053e-16,4.598900051419532e-16,3.7416573805328746,3.7416573867739396,raw_K
2,1.0000000000000002,1.0000000000000002,1.0392034601470402e-24,1.019413292118089e-12,1.03920346014704e-24,-4.440892098500626e-16,7.391377314905681e-17,4.501982587331755e-16,3.7416573867738885,3.741657386773941,raw_K
3,1.0000000000000004,1.0000000000000004,1.1316811637206945e-24,1.063805040277914e-12,1.131681163720694e-24,-5.551115123125783e-16,6.98179567545528e-17,5.59484886469097e-16,3.7416573867739413,3.741657386773943,raw_K
4,1.0000000000000002,1.0000000000000002,1.2730525544075385e-24,1.1282963061215518e-12,1.2730525544075382e-24,-7.216449660063518e-16,8.695834269323483e-17,7.268653316304628e-16,3.7416573867739418,3.7416573867739418,raw_K
5,1.0000000000000002,1.0000000000000002,1.465628688485157e-24,1.2106315246536235e-12,1.4656286884851566e-24,-7.216449660063518e-16,8.281471487294429e-17,7.26381259368519e-16,3.7416573867739413,3.741657386773942,raw_K
6,1.0000000000000002,1.0000000000000002,1.7135734613044988e-24,1.3090353170577556e-12,1.7135734613044984e-24,-6.106226635438361e-16,1.8454622516609087e-17,6.109014735009233e-16,3.7416573867739413,3.7416573867739418,raw_K
7,1.0000000000000002,1.0000000000000002,2.0230370152052704e-24,1.422335057293207e-12,2.02303701520527e-24,-6.106226635438361e-16,9.797056995996949e-17,6.184321060647241e-16,3.7416573867739413,3.741657386773944,raw_K
8,1.0000000000000004,1.0000000000000004,2.4018932586645648e-24,1.5498042646297515e-12,2.4018932586645637e-24,-5.551115123125783e-16,1.3691378636818315e-16,5.717466012138858e-16,3.7416573867739413,3.7416573867739435,raw_K
9,1.0000000000000004,1.0000000000000004,2.8603434862766872e-24,1.6912550033264313e-12,2.860343486276686e-24,-5.551115123125783e-16,1.4913585194421318e-16,5.747958711030238e-16,3.7416573867739413,3.741657386773944,raw_K
10,1.0000000000000004,1.0000000000000004,3.411131220205416e-24,1.8469248009070148e-12,3.411131220205415e-24,-5.551115123125783e-16,1.4293736269416272e-16,5.732188768314599e-16,3.7416573867739418,3.741657386773942,raw_K
11,1.0000000000000002,1.0000000000000002,4.069832277961859e-24,2.0173825313910744e-12,4.069832277961858e-24,-6.106226635438361e-16,1.1606323875014775e-16,6.215550760974788e-16,3.7416573867739413,3.741657386773942,raw_K
12,1.0000000000000004,1.0000000000000004,4.855119817506657e-24,2.2034336426374763e-12,4.855119817506655e-24,-5.551115123125783e-16,1.3679558769875386e-16,5.717183081866499e-16,3.7416573867739413,3.7416573867739396,raw_K
13,1.0000000000000004,1.0000000000000004,5.789413659888947e-24,2.4061200427013087e-12,5.789413659888945e-24,-4.996003610813204e-16,1.4885875915669203e-16,5.213055255512412e-16,3.7416573867739418,3.741657386773941,raw_K
14,1.0000000000000004,1.0000000000000004,6.900193742410555e-24,2.6268219852914575e-12,6.900193742410552e-24,-4.440892098500626e-16,1.2531049731011674e-16,4.614303273966307e-16,3.7416573867739413,3.7416573867739418,raw_K
15,1.0000000000000004,1.0000000000000004,8.219994451750917e-24,2.8670532697790806e-12,8.219994451750914e-24,-5.551115123125783e-16,8.13202697714733e-17,5.610363422967027e-16,3.7416573867739418,3.7416573867739418,raw_K
