seed,parent_residual,cluster_sse,family_A_modulus,family_B_modulus,relative_phase_rad,relative_phase_mod_pi_rad,groups,opposite_pairing
0,5.084965719640235e-11,8.589003478804262e-08,0.09999993909421301,0.09999998317482504,-3.090512908574452,0.05107974501534107,"[(0, 8, 9), (3, 6, 7), (1, 5), (2, 4)]","((0, 1), (2, 3))"
1,4.561733228789649e-11,7.436586737412774e-07,0.09999971462117944,0.09999945201649747,-0.04398708682369046,-0.04398708682369046,"[(0, 1, 9), (2, 3, 4), (5, 8), (6, 7)]","((0, 1), (2, 3))"
2,3.125908147633612e-11,6.638106047649496e-19,0.10000000000005414,0.09999999999992042,2.8258368975292276,-0.3157557560605655,"[(1, 6, 9), (3, 5, 8), (0, 7), (2, 4)]","((0, 1), (2, 3))"
3,7.680846523558016e-11,1.910860523287763e-09,0.09999999937212084,0.09999999852075023,3.0910172979439317,-0.050575355645861464,"[(0, 5, 8), (2, 4, 6), (1, 9), (3, 7)]","((0, 1), (2, 3))"
4,3.024411537448396e-12,4.476491488693278e-24,0.10000000000000037,0.10000000000000059,-3.1415926535575815,3.221156674726444e-11,"[(0, 1, 7), (3, 5, 8), (2, 4), (6, 9)]","((0, 2), (1, 3))"
5,4.400540799035422e-11,4.314606132055637e-06,0.0999969539499886,0.09999862488964191,0.03217259897503899,0.03217259897503899,"[(2, 6, 8), (3, 4, 9), (0, 7), (1, 5)]","((0, 1), (2, 3))"
6,6.136105129761338e-11,2.5202187777526337e-11,0.09999999997809803,0.10000000000137912,0.07531840975249393,0.07531840975249393,"[(0, 7, 9), (2, 5, 8), (1, 6), (3, 4)]","((0, 1), (2, 3))"
7,2.2356253482604787e-12,4.949424441855152e-24,0.10000000000000119,0.10000000000000105,2.786570973967173e-11,2.786570973967173e-11,"[(0, 5, 8), (2, 4, 6), (1, 9), (3, 7)]","((0, 1), (2, 3))"
8,3.954223461268517e-11,3.706623230341675e-17,0.10000000000018022,0.09999999999973193,-0.5581029705291214,-0.5581029705291214,"[(1, 6, 9), (3, 5, 8), (0, 7), (2, 4)]","((0, 1), (2, 3))"
9,1.0025879458530062e-13,7.044109812380958e-27,0.10000000000000105,0.100000000000001,-3.1415926535887104,1.0826894936144527e-12,"[(1, 6, 7), (3, 4, 5), (0, 9), (2, 8)]","((0, 3), (1, 2))"
10,3.484341614547077e-11,3.7878660400749156e-06,0.099998218966435,0.0999974687942874,3.108799697918358,-0.03279295567143503,"[(0, 2, 8), (1, 3, 5), (4, 9), (6, 7)]","((0, 1), (2, 3))"
11,4.814021650438534e-11,1.5942536831960708e-08,0.09999999540861589,0.09999998696600758,3.084783486054649,-0.05680916753514431,"[(1, 6, 7), (2, 4, 8), (0, 9), (3, 5)]","((0, 1), (2, 3))"
12,0.36231793764315273,5.168349365141627e-06,0.09999689910636435,0.09999817770338715,3.1248901253164334,-0.016702528273359718,"[(1, 3, 5), (2, 6, 7), (0, 8), (4, 9)]","((0, 1), (2, 3))"
13,0.3623179376431519,3.5460278846544045e-06,0.0999969053494709,0.0999996942733569,-3.1264161924852836,0.015176461104509542,"[(1, 5, 6), (3, 4, 9), (0, 7), (2, 8)]","((0, 1), (2, 3))"
14,0.3623179376431518,3.5460278848065617e-06,0.09999690534947135,0.09999969427335732,-3.1264161924851157,0.015176461104677408,"[(1, 5, 6), (2, 4, 9), (0, 8), (3, 7)]","((0, 1), (2, 3))"
15,0.3623179376431522,3.5460278847399493e-06,0.09999690534947137,0.0999996942733573,0.015176461104586814,0.015176461104586814,"[(2, 4, 8), (3, 6, 7), (0, 9), (1, 5)]","((0, 1), (2, 3))"
16,2.5317107213878207e-11,4.879170903922174e-19,0.10000000000006562,0.09999999999990318,0.23639652725020932,0.23639652725020932,"[(0, 2, 8), (1, 3, 5), (4, 9), (6, 7)]","((0, 1), (2, 3))"
17,3.8864004140811524e-11,6.809826395309988e-20,0.10000000000006279,0.09999999999990682,-0.18486129752508784,-0.18486129752508784,"[(0, 7, 9), (2, 5, 8), (1, 6), (3, 4)]","((0, 1), (2, 3))"
18,0.3623179376431506,3.546027884782542e-06,0.09999690534947137,0.0999996942733575,0.01517646110475157,0.01517646110475157,"[(1, 6, 7), (3, 4, 5), (0, 9), (2, 8)]","((0, 1), (2, 3))"
19,4.818703013274368e-12,1.6420465979553276e-23,0.10000000000000157,0.10000000000000142,3.1415926535366694,-5.312372763910389e-11,"[(0, 6, 7), (1, 4, 9), (2, 8), (3, 5)]","((0, 3), (1, 2))"
