step,H_total,H_parallel,H_perp,A_perp,abs_ZtZ,sum_a2,sum_b2,sum_ab,r2_min,r2_max,simplex_rank
0,0.9999999999999998,1.0,0.0,0.0,2.774869591126346e-15,0.5000000000000009,0.49999999999999895,-9.922618282587337e-16,0.04801584835963118,0.09546052497227353,5
1,0.9999999999999998,0.9999999999999999,0.0,0.0,2.8467825831824306e-15,0.5000000000000009,0.49999999999999895,-9.922618282587337e-16,0.04801584835963142,0.09546052497227356,5
2,0.9999999999999998,0.9999999999999998,0.0,0.0,2.8076579429023785e-15,0.5000000000000009,0.49999999999999895,-1.0200174038743626e-15,0.04801584835963125,0.09546052497227372,5
3,0.9999999999999998,1.0,0.0,0.0,2.8188274454604752e-15,0.5000000000000011,0.49999999999999895,-1.0200174038743626e-15,0.04801584835963074,0.095460524972274,5
4,0.9999999999999999,0.9999999999999998,1.1102230246251565e-16,1.0536712127723509e-08,2.803429204948222e-15,0.5000000000000009,0.49999999999999895,-1.0234868508263162e-15,0.04801584835962995,0.09546052497227432,5
5,0.9999999999999999,0.9999999999999999,0.0,0.0,2.781692789198212e-15,0.500000000000001,0.49999999999999906,-1.0200174038743626e-15,0.048015848359628965,0.09546052497227468,5
6,0.9999999999999998,0.9999999999999997,1.1102230246251565e-16,1.0536712127723509e-08,2.729720878038374e-15,0.5000000000000008,0.49999999999999895,-1.0113437864944785e-15,0.04801584835962786,0.09546052497227513,5
7,0.9999999999999998,1.0,0.0,0.0,2.714205419590899e-15,0.5000000000000008,0.49999999999999906,-1.0200174038743626e-15,0.04801584835962671,0.09546052497227564,5
8,0.9999999999999996,0.9999999999999996,0.0,0.0,2.7221657061375857e-15,0.5000000000000007,0.4999999999999989,-1.0234868508263162e-15,0.048015848359625565,0.09546052497227618,5
9,0.9999999999999997,0.9999999999999996,1.1102230246251565e-16,1.0536712127723509e-08,2.8099052084213292e-15,0.5000000000000007,0.49999999999999895,-1.0408340855860843e-15,0.04801584835962448,0.09546052497227678,5
10,0.9999999999999996,0.9999999999999996,0.0,0.0,2.6759366406719e-15,0.5000000000000007,0.499999999999999,-1.0373646386341306e-15,0.04801584835962353,0.09546052497227746,5
11,0.9999999999999997,0.9999999999999996,1.1102230246251565e-16,1.0536712127723509e-08,2.6546892207640334e-15,0.5000000000000007,0.499999999999999,-1.0269562977782698e-15,0.048015848359622734,0.09546052497227814,5
12,0.9999999999999996,0.9999999999999999,0.0,0.0,2.7461367389976685e-15,0.5000000000000007,0.49999999999999883,-1.0443035325380379e-15,0.04801584835962216,0.09546052497227883,5
13,0.9999999999999996,0.9999999999999998,0.0,0.0,2.734945490662262e-15,0.5000000000000008,0.4999999999999991,-1.0399667238480959e-15,0.04801584835962184,0.09546052497227953,5
