N,L,angle,lambda_f_per_step,lambda_f_over_angle2,lambda_f_per_tau
6,62,0.10134169850289655,0.03011390326248936,2.9321804460630747,0.2971521467210128
6,124,0.050670849251448276,0.015093781870322839,5.878705483181979,0.2978789993319764
6,144,0.04363323129985824,0.013001863843917532,6.829216190208093,0.2979807696240864
6,248,0.025335424625724138,0.007556197084167396,11.771909151022717,0.29824631699660825
6,496,0.012667712312862069,0.0037804376765497335,23.558394988237957,0.29843097026377
6,992,0.0063338561564310345,0.0018908051392801206,47.131404486059765,0.2985235364652709
6,1984,0.0031669280782155172,0.0009455492668563426,94.27743564240713,0.2985698580780955
16,62,0.10134169850289655,0.001283237342612673,0.12494838051610918,0.012662481106688729
16,124,0.050670849251448276,0.0003210044501033616,0.1250243734248483,0.0063350911785672636
16,144,0.04363323129985824,0.00023804128023105153,0.12503094820918736,0.005455504282852068
16,248,0.025335424625724138,8.02627522477286e-05,0.12504250711658302,0.0031680050140637625
16,496,0.012667712312862069,2.0065664542023513e-05,0.12504236054855433,0.0015840006503502599
16,992,0.0063338561564310345,6.065074219649746e-06,0.15118187503611197,0.000957564249938265
16,1984,0.0031669280782155172,4.455323478363888e-06,0.444224840757423,0.0014068281212354999
