N,seed,parent_ok,M,parent_residual,sigma_max,sigma_from_flow,rel_equilibrium_defect,max_Re,a_flow_per_tau,n_unstable,unstable_freq,n_zero_freq,n_distinct_freq,freq_min,freq_max,freqs
4,0,True,6,5.024877407534516e-15,0.3333333333332882,0.3333333333332882,1.5084465511432584e-14,9.521866982337252e-07,1.9043733964674504e-06,0,,6,2,1.0011819401603674e-06,0.6666666666648378,0.000001;0.666667
4,1,True,6,1.708462007574035e-14,0.33333333333327814,0.33333333333327825,5.1251507662596803e-14,1.1074359444263717e-06,2.2148718888527435e-06,2,4.687850112127105e-07,2,2,4.687850112127105e-07,0.6666666666599637,0.000000;0.666667
4,2,True,6,6.5370880285377456e-15,0.33333333333327564,0.3333333333332755,1.962096312346168e-14,1.56047733342445e-06,3.1209546668489e-06,1,0.0,4,2,1.1770465476075919e-06,0.666666666664007,0.000001;0.666667
4,3,True,6,1.6084525200166862e-14,0.33333333333324716,0.3333333333332471,4.828369641298738e-14,1.4960443543265684e-06,2.9920887086531368e-06,1,0.0,4,2,6.928688112193077e-07,0.6666666666617806,0.000001;0.666667
4,4,True,6,1.0624200807733856e-14,0.33333333333323495,0.333333333333235,3.187260242321097e-14,8.791577057835578e-07,1.7583154115671155e-06,0,,4,2,1.1109823215696114e-06,0.666666666658254,0.000001;0.666667
5,0,True,10,3.777199322890674e-11,0.3438596491228431,0.34385964912284295,1.0984712316568668e-10,0.08806314929243553,0.17612629858487105,3,0.1115272505348514,4,5,6.722721671681413e-07,0.6877192982445754,0.000001;0.111527;0.171930;0.223055;0.687719
5,1,True,10,3.799689448000241e-11,0.34385964912311384,0.3438596491231136,1.1050117281071174e-10,6.827185242659394e-07,1.365437048531879e-06,0,,4,6,1.5376551943984928e-07,0.6877192982399197,0.000000;0.015800;0.163484;0.171930;0.179284;0.687719
5,2,True,10,4.008072789596781e-11,0.3438596491228442,0.34385964912284406,1.165612977626532e-10,0.03283142663071241,0.06566285326142482,2,0.10105735524569286,6,5,5.413120149664432e-07,0.6877192982382384,0.000001;0.101057;0.171930;0.202115;0.687719
5,3,True,10,4.212503668447852e-11,0.34385964912302047,0.3438596491230206,1.225064912466024e-10,1.7995906216559077e-06,3.5991812433118153e-06,1,0.0,6,6,1.9035684163060994e-06,0.6877192982419825,0.000002;0.065418;0.129618;0.171930;0.195037;0.687719
5,4,True,10,2.2328014286714064e-11,0.3999999999956687,0.3999999999956689,5.582003480580156e-11,3.34949760050492e-06,6.69899520100984e-06,3,0.0,8,3,3.178314598498787e-06,0.799999999984273,0.000003;0.200000;0.800000
6,0,True,15,6.387259776412142e-11,0.3999999999999172,0.3999999999999172,1.5968148737730833e-10,0.1493081462615904,0.2986162925231808,3,0.14835449761844996,12,8,9.530854584929793e-07,0.79999999999552,0.000001;0.018723;0.148354;0.256259;0.273210;0.299286;0.300554;0.800000
6,1,True,15,3.8498693504444365e-11,0.3917938690394118,0.39179386903941177,9.826262842502335e-11,0.10910022324576357,0.21820044649152714,5,0.1390256532955872,12,7,7.55579567336264e-07,0.7835877380780688,0.000001;0.139026;0.156500;0.269329;0.279818;0.313159;0.783588
6,2,True,15,7.853401903275775e-11,0.3583610696828772,0.35836106968287734,2.191477414175228e-10,0.06767010667745564,0.13534021335491128,3,0.06639351876617929,14,7,4.1644992301435565e-06,0.7167221393629087,0.000004;0.066394;0.234667;0.246898;0.265571;0.265768;0.716722
6,3,True,15,7.853311448842492e-11,0.358361069682938,0.35836106968293774,2.191452121525649e-10,0.06767010667427927,0.13534021334855853,3,0.06639351875457268,10,8,6.773925779066262e-07,0.7167221393627513,0.000001;0.000004;0.066394;0.234667;0.246898;0.265571;0.265768;0.716722
6,4,True,15,7.058150448589648e-11,0.3583610696829115,0.35836106968291137,1.9695639502277213e-10,0.07732077813455487,0.15464155626910975,3,0.07555513512766458,14,7,2.7149489974382415e-06,0.716722139363881,0.000003;0.075555;0.232953;0.249074;0.265421;0.265768;0.716722
7,0,True,21,1.6198350886961902e-11,0.39559993874937704,0.39559993874937716,4.094629362851743e-11,0.06970378476564826,0.13940756953129652,2,0.1463369013077298,20,10,1.254794925789623e-06,0.79119987750042,0.000001;0.021405;0.100506;0.146337;0.216258;0.283226;0.297182;0.320227;0.328603;0.791200
7,1,True,21,2.8788101358966757e-11,0.41863101809634695,0.41863101809634706,6.876723916291749e-11,0.07422326551464885,0.1484465310292977,2,0.14665493555359205,20,10,9.152404207280983e-07,0.8372620361910036,0.000001;0.016392;0.059760;0.146655;0.257100;0.304409;0.318825;0.335327;0.342140;0.837262
7,2,True,21,6.65959817310683e-11,0.3910242497049914,0.39102424970499133,1.7031164293815703e-10,0.14299218322656498,0.28598436645312997,4,0.14676026236049708,22,9,2.9463481010220296e-07,0.7820484994074821,0.000000;0.014577;0.146760;0.273157;0.285455;0.314003;0.315711;0.319270;0.782048
