N,seed,M,parent_residual,sigma_max,phi,relative_equilibrium_defect,mu_G_max,lambda_G,lambda_f_pred,n_unstable,mu_top4,lambda_DF_max
4,0,6,5.024877407534516e-15,0.3333333333332882,0.01689028308381385,4.1284960951694434e-16,1.0000042152810702,4.215272185924468e-06,8.430544371848936e-06,2,"1.000004, 1.000000, 1.000000, 1.000000",2.059914461015501e-10
4,1,6,1.708462007574035e-14,0.33333333333327814,0.016890283083813247,1.0030242542927108e-15,1.0000037856050326,3.7855978671733337e-06,7.571195734346667e-06,1,"1.000004, 1.000000, 1.000000, 1.000000",-4.423172939125431e-11
4,2,6,6.5370880285377456e-15,0.33333333333327564,0.016890283083813188,6.808253736204889e-16,1.0000000114780787,1.1478078643841478e-08,2.2956157287682956e-08,1,"1.000000, 1.000000, 1.000000, 1.000000",-6.172340416745278e-11
4,3,6,1.6084525200166862e-14,0.33333333333324716,0.016890283083811745,1.4089884977085073e-15,1.0000000073045103,7.3045103032528e-09,1.46090206065056e-08,2,"1.000000, 1.000000, 1.000000, 1.000000",4.828715205346103e-11
4,4,6,1.0624200807733856e-14,0.33333333333323495,0.016890283083811,9.344058656478643e-16,1.0000000392746862,3.9274685398681773e-08,7.854937079736355e-08,2,"1.000000, 1.000000, 1.000000, 1.000000",9.411360579703166e-12
5,0,10,3.777199322890674e-11,0.3438596491228431,0.01742366044435938,1.9140399794830186e-12,1.0044610050461804,0.004451084256688436,0.008902168513376872,6,"1.004461, 1.004461, 1.000095, 1.000095",2.0577712420318464e-05
5,1,10,3.799689448000241e-11,0.34385964912311384,0.01742366044437318,1.9252767628620545e-12,1.000097988139671,9.798333914682593e-05,0.00019596667829365185,8,"1.000098, 1.000098, 1.000095, 1.000095",1.566117249128667e-05
5,2,10,4.008072789596781e-11,0.3438596491228442,0.01742366044435953,2.0308945620683764e-12,1.00166593923005,0.0016645530925578915,0.003329106185115783,6,"1.001666, 1.001666, 1.000095, 1.000095",1.802698103872381e-05
5,3,10,4.212503668447852e-11,0.34385964912302047,0.01742366044436845,2.134510406982371e-12,1.0001867678551615,0.00018675041621693533,0.00037350083243387067,8,"1.000187, 1.000187, 1.000095, 1.000095",1.7240748196761644e-05
5,4,10,2.2328014286714064e-11,0.3999999999956687,0.02026833970035986,1.1312774952053203e-12,1.0001283684625288,0.00012836022400278943,0.00025672044800557886,6,"1.000128, 1.000128, 1.000128, 1.000128",2.0314817006686082e-05
