N,null_residual,selfconsistency_residual,sigma_max,sigma_rest_spread,n_sigma,a_flow_per_tau
5,2.989366980140909e-17,0.5590169943749473,3.811737691489901,0.16379451481780238,4,
6,9.907406846078666e-17,0.6000000000000003,4.854101966249688,0.06924638570318357,5,
7,1.4953261511274044e-17,0.623609564462324,5.880677910464578,0.03871097547914725,6,
8,1.9825411154020653e-17,0.6388765649999397,6.8989794855663575,0.02484075497442368,7,
9,8.728185888907126e-17,0.6495190528383284,7.912375826453056,0.01733089331315114,8,
10,4.764881801672228e-17,0.6573421981221799,8.922616289332575,0.012794675066494128,9,
11,3.3837689446869914e-17,0.66332495807108,9.930703308172545,0.009840235550620493,10,
12,2.0426705860103468e-17,0.6680426571226851,10.93725393319378,0.007806639782336211,11,
13,5.98193534284778e-17,0.6718548123582122,11.94266932535684,0.006346250786800753,12,
14,4.169560299136304e-17,0.6749972605686254,12.947221813845607,0.005261655859936621,13,
15,6.361729748916056e-17,0.677630927178938,13.951102881551567,0.004433843648686035,14,
16,1.1255371690773766e-17,0.679869268479038,14.954451150103328,0.003787535943810467,15,
17,4.6752866490918956e-17,0.6817945071647323,15.95736947396809,0.003273197572670011,16,
18,5.850264171649416e-17,0.6834676493307218,16.959935794377127,0.0028571356103939093,17,
19,1.514305742488642e-17,0.6849348892187742,17.962210261723772,0.0025157780213170057,18,
20,1.7373317693614215e-17,0.6862318321265928,18.964240043768893,0.002232228365681412,19,
