phase_model,correction,delta_max,closure_global_abs,closure_pair_rms,closure_pair_max,transmission_leakage,reflection_rate,max_remaining_delta,rms_remaining_delta
linear,none,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
linear,constant,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
linear,linear,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
linear,affine,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
linear,quadratic,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
linear,cubic,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
linear,full,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
quadratic_area,none,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
quadratic_area,constant,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
quadratic_area,linear,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
quadratic_area,affine,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
quadratic_area,quadratic,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
quadratic_area,cubic,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
quadratic_area,full,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cubic_high,none,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cubic_high,constant,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cubic_high,linear,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cubic_high,affine,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cubic_high,quadratic,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cubic_high,cubic,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cubic_high,full,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
quartic_edge,none,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
quartic_edge,constant,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
quartic_edge,linear,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
quartic_edge,affine,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
quartic_edge,quadratic,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
quartic_edge,cubic,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
quartic_edge,full,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
alternating_linear,none,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
alternating_linear,constant,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
alternating_linear,linear,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
alternating_linear,affine,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
alternating_linear,quadratic,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
alternating_linear,cubic,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
alternating_linear,full,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
sinusoidal_loop,none,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
sinusoidal_loop,constant,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
sinusoidal_loop,linear,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
sinusoidal_loop,affine,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
sinusoidal_loop,quadratic,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
sinusoidal_loop,cubic,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
sinusoidal_loop,full,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mixed_smooth,none,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mixed_smooth,constant,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mixed_smooth,linear,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mixed_smooth,affine,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
