case,A_A,A_B,Nh_chi_A,Nh_chi_B,Nh_tau_A,Nh_tau_B,tau_A0,tau_B0,omega_A,omega_B,epsilon_chi_AB,epsilon_tau_AB,min_abs_chi_gap,min_abs_tau_gap,collision_cell_reached,spatial_crossed_without_time_cell,collision_step,post_collision_steps,post_collision_propagation_completed,q_reversed,label_preserved,amplitude_preserved,separated_after_collision,closure_preserved,closure_residual_abs,case_valid
symmetric_baseline,1.0,1.0,99,99,99,99,-0.2,-0.2,1.0,1.0,0.031415926535897934,0.031415926535897934,0.029999999999999694,0.0,True,False,185,215,True,True,True,True,True,True,0.0,True
amplitude_asymmetry,1.0,2.0,99,99,99,99,-0.2,-0.2,1.0,1.0,0.031415926535897934,0.031415926535897934,0.029999999999999694,0.0,True,False,185,215,True,True,True,True,True,True,0.0,True
spatial_harmonic_asymmetry,1.0,1.0,199,99,99,99,-0.2,-0.2,1.0,1.0,0.031415926535897934,0.031415926535897934,0.029999999999999694,0.0,True,False,185,215,True,True,True,True,True,True,0.0,True
temporal_harmonic_asymmetry,1.0,1.0,99,99,199,99,-0.2,-0.2,1.0,1.0,0.031415926535897934,0.031415926535897934,0.029999999999999694,0.0,True,False,185,215,True,True,True,True,True,True,0.0,True
small_time_phase_offset,1.0,1.0,99,99,99,99,-0.2,-0.18,1.0,1.0,0.031415926535897934,0.031415926535897934,0.029999999999999694,0.020000000000000007,True,False,185,215,True,True,True,True,True,True,0.0,True
large_time_phase_offset,1.0,1.0,99,99,99,99,-0.2,-0.15,1.0,1.0,0.031415926535897934,0.031415926535897934,3.191891195797325e-16,0.05,False,True,200,0,False,False,True,True,False,True,0.0,False
small_omega_mismatch,1.0,1.0,99,99,99,99,-0.2,-0.2,1.0,1.05,0.031415926535897934,0.031415926535897934,0.029999999999999694,0.0,True,False,185,215,True,True,True,True,True,True,0.0,True
large_omega_mismatch,1.0,1.0,99,99,99,99,-0.2,-0.2,1.0,1.5,0.031415926535897934,0.031415926535897934,3.191891195797325e-16,0.0,False,True,200,0,False,False,True,True,False,True,0.0,False
combined_asymmetry_pass,1.5,0.8,199,99,199,99,-0.2,-0.22,1.0,1.1,0.031415926535897934,0.031415926535897934,0.029999999999999694,0.0015000000000008964,True,False,185,215,True,True,True,True,True,True,0.0,True
combined_asymmetry_fail,1.5,0.8,199,99,199,99,-0.2,-0.15,1.0,1.5,0.031415926535897934,0.031415926535897934,3.191891195797325e-16,0.05000000000000002,False,True,200,0,False,False,True,True,False,True,0.0,False
