chi_A,chi_B,closure_residual_abs,collision_index,event,m_A,m_B,q_A,q_A_after,q_A_before,q_B,q_B_after,q_B_before,step,tau_A,tau_B,wall_A,wall_B
-0.014999999999999847,0.014999999999999847,0.0,1,ab_collision,1,2,,-1,1,,1,-1,185,-0.014999999999999847,-0.014999999999999847,,
,,,,wall_reflection,1,2,1,,,-1,,,420,,,True,True
-0.014999999999999736,0.014999999999999736,0.0,2,ab_collision,1,2,,-1,1,,1,-1,655,0.4550000000000005,0.4550000000000005,,
,,,,wall_reflection,1,2,1,,,-1,,,891,,,True,True
-0.014999999999999847,0.014999999999999847,0.0,3,ab_collision,1,2,,-1,1,,1,-1,1125,0.9250000000000009,0.9250000000000009,,
,,,,wall_reflection,1,2,1,,,-1,,,1360,,,True,True
-0.014999999999999736,0.014999999999999736,0.0,4,ab_collision,1,2,,-1,1,,1,-1,1595,1.3949999999999574,1.3949999999999574,,
,,,,wall_reflection,1,2,1,,,-1,,,1831,,,True,True
-0.014999999999999847,0.014999999999999847,0.0,5,ab_collision,1,2,,-1,1,,1,-1,2065,1.8649999999999056,1.8649999999999056,,
,,,,wall_reflection,1,2,1,,,-1,,,2300,,,True,True
-0.014999999999999736,0.014999999999999736,0.0,6,ab_collision,1,2,,-1,1,,1,-1,2535,2.334999999999854,2.334999999999854,,
,,,,wall_reflection,1,2,1,,,-1,,,2771,,,True,True
-0.014999999999999847,0.014999999999999847,0.0,7,ab_collision,1,2,,-1,1,,1,-1,3005,2.804999999999802,2.804999999999802,,
,,,,wall_reflection,1,2,1,,,-1,,,3240,,,True,True
-0.014999999999999736,0.014999999999999736,0.0,8,ab_collision,1,2,,-1,1,,1,-1,3475,3.2749999999997503,3.2749999999997503,,
