stage,step,chi_A,chi_B,tau_A,tau_B,q_A,q_B,m_A,m_B,A_A,A_B,ab_collision_count,wall_reflection_count
initial,0,-0.2,0.2,-0.2,-0.2,1,-1,1,2,1.0,1.0,0,0
step,10,-0.19,0.19,-0.19,-0.19,1,-1,1,2,1.0,1.0,0,0
step,20,-0.18,0.18,-0.18,-0.18,1,-1,1,2,1.0,1.0,0,0
step,30,-0.16999999999999998,0.16999999999999998,-0.16999999999999998,-0.16999999999999998,1,-1,1,2,1.0,1.0,0,0
step,40,-0.15999999999999998,0.15999999999999998,-0.15999999999999998,-0.15999999999999998,1,-1,1,2,1.0,1.0,0,0
step,50,-0.14999999999999997,0.14999999999999997,-0.14999999999999997,-0.14999999999999997,1,-1,1,2,1.0,1.0,0,0
step,60,-0.13999999999999996,0.13999999999999996,-0.13999999999999996,-0.13999999999999996,1,-1,1,2,1.0,1.0,0,0
step,70,-0.12999999999999995,0.12999999999999995,-0.12999999999999995,-0.12999999999999995,1,-1,1,2,1.0,1.0,0,0
step,80,-0.11999999999999994,0.11999999999999994,-0.11999999999999994,-0.11999999999999994,1,-1,1,2,1.0,1.0,0,0
step,90,-0.10999999999999993,0.10999999999999993,-0.10999999999999993,-0.10999999999999993,1,-1,1,2,1.0,1.0,0,0
step,100,-0.09999999999999992,0.09999999999999992,-0.09999999999999992,-0.09999999999999992,1,-1,1,2,1.0,1.0,0,0
step,110,-0.08999999999999991,0.08999999999999991,-0.08999999999999991,-0.08999999999999991,1,-1,1,2,1.0,1.0,0,0
step,120,-0.0799999999999999,0.0799999999999999,-0.0799999999999999,-0.0799999999999999,1,-1,1,2,1.0,1.0,0,0
step,130,-0.0699999999999999,0.0699999999999999,-0.0699999999999999,-0.0699999999999999,1,-1,1,2,1.0,1.0,0,0
step,140,-0.05999999999999989,0.05999999999999989,-0.05999999999999989,-0.05999999999999989,1,-1,1,2,1.0,1.0,0,0
step,150,-0.04999999999999988,0.04999999999999988,-0.04999999999999988,-0.04999999999999988,1,-1,1,2,1.0,1.0,0,0
step,160,-0.03999999999999987,0.03999999999999987,-0.03999999999999987,-0.03999999999999987,1,-1,1,2,1.0,1.0,0,0
step,170,-0.02999999999999986,0.02999999999999986,-0.02999999999999986,-0.02999999999999986,1,-1,1,2,1.0,1.0,0,0
step,180,-0.01999999999999985,0.01999999999999985,-0.01999999999999985,-0.01999999999999985,1,-1,1,2,1.0,1.0,0,0
ab_collision,185,-0.014999999999999847,0.014999999999999847,-0.014999999999999847,-0.014999999999999847,-1.0,1.0,1,2,1.0,1.0,1,0
step,190,-0.01999999999999985,0.01999999999999985,-0.009999999999999842,-0.009999999999999842,-1.0,1.0,1,2,1.0,1.0,1,0
step,200,-0.02999999999999986,0.02999999999999986,1.5959455978986625e-16,1.5959455978986625e-16,-1.0,1.0,1,2,1.0,1.0,1,0
step,210,-0.03999999999999987,0.03999999999999987,0.010000000000000162,0.010000000000000162,-1.0,1.0,1,2,1.0,1.0,1,0
step,220,-0.04999999999999988,0.04999999999999988,0.02000000000000017,0.02000000000000017,-1.0,1.0,1,2,1.0,1.0,1,0
step,230,-0.05999999999999989,0.05999999999999989,0.03000000000000018,0.03000000000000018,-1.0,1.0,1,2,1.0,1.0,1,0
step,240,-0.0699999999999999,0.0699999999999999,0.04000000000000019,0.04000000000000019,-1.0,1.0,1,2,1.0,1.0,1,0
step,250,-0.0799999999999999,0.0799999999999999,0.0500000000000002,0.0500000000000002,-1.0,1.0,1,2,1.0,1.0,1,0
step,260,-0.08999999999999991,0.08999999999999991,0.060000000000000206,0.060000000000000206,-1.0,1.0,1,2,1.0,1.0,1,0
step,270,-0.09999999999999992,0.09999999999999992,0.07000000000000021,0.07000000000000021,-1.0,1.0,1,2,1.0,1.0,1,0
step,280,-0.10999999999999993,0.10999999999999993,0.08000000000000022,0.08000000000000022,-1.0,1.0,1,2,1.0,1.0,1,0
step,290,-0.11999999999999994,0.11999999999999994,0.09000000000000023,0.09000000000000023,-1.0,1.0,1,2,1.0,1.0,1,0
step,300,-0.12999999999999995,0.12999999999999995,0.10000000000000024,0.10000000000000024,-1.0,1.0,1,2,1.0,1.0,1,0
step,310,-0.13999999999999996,0.13999999999999996,0.11000000000000025,0.11000000000000025,-1.0,1.0,1,2,1.0,1.0,1,0
step,320,-0.14999999999999997,0.14999999999999997,0.12000000000000026,0.12000000000000026,-1.0,1.0,1,2,1.0,1.0,1,0
step,330,-0.15999999999999998,0.15999999999999998,0.13000000000000025,0.13000000000000025,-1.0,1.0,1,2,1.0,1.0,1,0
step,340,-0.16999999999999998,0.16999999999999998,0.14000000000000026,0.14000000000000026,-1.0,1.0,1,2,1.0,1.0,1,0
step,350,-0.18,0.18,0.15000000000000027,0.15000000000000027,-1.0,1.0,1,2,1.0,1.0,1,0
step,360,-0.19,0.19,0.16000000000000028,0.16000000000000028,-1.0,1.0,1,2,1.0,1.0,1,0
step,370,-0.2,0.2,0.1700000000000003,0.1700000000000003,-1.0,1.0,1,2,1.0,1.0,1,0
step,380,-0.21000000000000002,0.21000000000000002,0.1800000000000003,0.1800000000000003,-1.0,1.0,1,2,1.0,1.0,1,0
step,390,-0.22000000000000003,0.22000000000000003,0.1900000000000003,0.1900000000000003,-1.0,1.0,1,2,1.0,1.0,1,0
step,400,-0.23000000000000004,0.23000000000000004,0.20000000000000032,0.20000000000000032,-1.0,1.0,1,2,1.0,1.0,1,0
step,410,-0.24000000000000005,0.24000000000000005,0.21000000000000033,0.21000000000000033,-1.0,1.0,1,2,1.0,1.0,1,0
wall_reflection,420,-0.24999999999999994,0.24999999999999994,0.22000000000000033,0.22000000000000033,1.0,-1.0,1,2,1.0,1.0,1,2
step,420,-0.24999999999999994,0.24999999999999994,0.22000000000000033,0.22000000000000033,1.0,-1.0,1,2,1.0,1.0,1,2
step,430,-0.23999999999999994,0.23999999999999994,0.23000000000000034,0.23000000000000034,1.0,-1.0,1,2,1.0,1.0,1,2
step,440,-0.22999999999999993,0.22999999999999993,0.24000000000000035,0.24000000000000035,1.0,-1.0,1,2,1.0,1.0,1,2
step,450,-0.21999999999999992,0.21999999999999992,0.25000000000000033,0.25000000000000033,1.0,-1.0,1,2,1.0,1.0,1,2
step,460,-0.2099999999999999,0.2099999999999999,0.26000000000000034,0.26000000000000034,1.0,-1.0,1,2,1.0,1.0,1,2
