stage,step,chi_A,chi_B,tau_A,tau_B,q_A_readout,q_B_readout,m_A,m_B
initial,0,-0.2,0.2,-0.2,-0.2,1.0,-1.0,1,2
approach,1,-0.19,0.19,-0.19,-0.19,1.0,-1.0,1,2
approach,2,-0.18,0.18,-0.18,-0.18,1.0,-1.0,1,2
approach,3,-0.16999999999999998,0.16999999999999998,-0.16999999999999998,-0.16999999999999998,1.0,-1.0,1,2
approach,4,-0.15999999999999998,0.15999999999999998,-0.15999999999999998,-0.15999999999999998,1.0,-1.0,1,2
approach,5,-0.14999999999999997,0.14999999999999997,-0.14999999999999997,-0.14999999999999997,1.0,-1.0,1,2
approach,6,-0.13999999999999996,0.13999999999999996,-0.13999999999999996,-0.13999999999999996,1.0,-1.0,1,2
approach,7,-0.12999999999999995,0.12999999999999995,-0.12999999999999995,-0.12999999999999995,1.0,-1.0,1,2
approach,8,-0.11999999999999995,0.11999999999999995,-0.11999999999999995,-0.11999999999999995,1.0,-1.0,1,2
approach,9,-0.10999999999999996,0.10999999999999996,-0.10999999999999996,-0.10999999999999996,1.0,-1.0,1,2
approach,10,-0.09999999999999996,0.09999999999999996,-0.09999999999999996,-0.09999999999999996,1.0,-1.0,1,2
approach,11,-0.08999999999999997,0.08999999999999997,-0.08999999999999997,-0.08999999999999997,1.0,-1.0,1,2
approach,12,-0.07999999999999997,0.07999999999999997,-0.07999999999999997,-0.07999999999999997,1.0,-1.0,1,2
approach,13,-0.06999999999999998,0.06999999999999998,-0.06999999999999998,-0.06999999999999998,1.0,-1.0,1,2
approach,14,-0.05999999999999998,0.05999999999999998,-0.05999999999999998,-0.05999999999999998,1.0,-1.0,1,2
approach,15,-0.049999999999999975,0.049999999999999975,-0.049999999999999975,-0.049999999999999975,1.0,-1.0,1,2
approach,16,-0.03999999999999997,0.03999999999999997,-0.03999999999999997,-0.03999999999999997,1.0,-1.0,1,2
approach,17,-0.02999999999999997,0.02999999999999997,-0.02999999999999997,-0.02999999999999997,1.0,-1.0,1,2
approach,18,-0.01999999999999997,0.01999999999999997,-0.01999999999999997,-0.01999999999999997,1.0,-1.0,1,2
approach,19,-0.009999999999999969,0.009999999999999969,-0.009999999999999969,-0.009999999999999969,1.0,-1.0,1,2
collision_cell,19,-0.009999999999999969,0.009999999999999969,-0.009999999999999969,-0.009999999999999969,1.0,-1.0,1,2
local_exchange_interference_map,19,-0.009999999999999969,0.009999999999999969,-0.009999999999999969,-0.009999999999999969,-1.0000000000000002,1.0000000000000002,1,2
post_collision,20,-0.01999999999999997,0.01999999999999997,3.122502256758253e-17,3.122502256758253e-17,-1.0000000000000002,1.0000000000000002,1,2
post_collision,21,-0.02999999999999997,0.02999999999999997,0.010000000000000031,0.010000000000000031,-1.0000000000000002,1.0000000000000002,1,2
post_collision,22,-0.03999999999999997,0.03999999999999997,0.02000000000000003,0.02000000000000003,-1.0000000000000002,1.0000000000000002,1,2
post_collision,23,-0.049999999999999975,0.049999999999999975,0.030000000000000034,0.030000000000000034,-1.0000000000000002,1.0000000000000002,1,2
post_collision,24,-0.05999999999999998,0.05999999999999998,0.040000000000000036,0.040000000000000036,-1.0000000000000002,1.0000000000000002,1,2
post_collision,25,-0.06999999999999998,0.06999999999999998,0.05000000000000004,0.05000000000000004,-1.0000000000000002,1.0000000000000002,1,2
post_collision,26,-0.07999999999999999,0.07999999999999999,0.06000000000000004,0.06000000000000004,-1.0000000000000002,1.0000000000000002,1,2
post_collision,27,-0.09,0.09,0.07000000000000003,0.07000000000000003,-1.0000000000000002,1.0000000000000002,1,2
post_collision,28,-0.1,0.1,0.08000000000000003,0.08000000000000003,-1.0000000000000002,1.0000000000000002,1,2
post_collision,29,-0.11000000000000001,0.11000000000000001,0.09000000000000002,0.09000000000000002,-1.0000000000000002,1.0000000000000002,1,2
post_collision,30,-0.12000000000000002,0.12000000000000002,0.10000000000000002,0.10000000000000002,-1.0000000000000002,1.0000000000000002,1,2
post_collision,31,-0.13000000000000003,0.13000000000000003,0.11000000000000001,0.11000000000000001,-1.0000000000000002,1.0000000000000002,1,2
post_collision,32,-0.14000000000000004,0.14000000000000004,0.12000000000000001,0.12000000000000001,-1.0000000000000002,1.0000000000000002,1,2
post_collision,33,-0.15000000000000005,0.15000000000000005,0.13,0.13,-1.0000000000000002,1.0000000000000002,1,2
post_collision,34,-0.16000000000000006,0.16000000000000006,0.14,0.14,-1.0000000000000002,1.0000000000000002,1,2
post_collision,35,-0.17000000000000007,0.17000000000000007,0.15000000000000002,0.15000000000000002,-1.0000000000000002,1.0000000000000002,1,2
post_collision,36,-0.18000000000000008,0.18000000000000008,0.16000000000000003,0.16000000000000003,-1.0000000000000002,1.0000000000000002,1,2
post_collision,37,-0.19000000000000009,0.19000000000000009,0.17000000000000004,0.17000000000000004,-1.0000000000000002,1.0000000000000002,1,2
post_collision,38,-0.2000000000000001,0.2000000000000001,0.18000000000000005,0.18000000000000005,-1.0000000000000002,1.0000000000000002,1,2
post_collision,39,-0.2100000000000001,0.2100000000000001,0.19000000000000006,0.19000000000000006,-1.0000000000000002,1.0000000000000002,1,2
post_collision,40,-0.2200000000000001,0.2200000000000001,0.20000000000000007,0.20000000000000007,-1.0000000000000002,1.0000000000000002,1,2
final,40,-0.2200000000000001,0.2200000000000001,0.20000000000000007,0.20000000000000007,-1.0000000000000002,1.0000000000000002,1,2
