case_id,initial_deviation_deg,protocol,tau_mode,tau_kind,readout_mode,active_readout,step_count,chi_read_min,chi_read_max,max_abs_A_chi_tau,d_eff_chi_tau_max,rank_chi_tau,max_epsilon_c_abs,c1_calibrated,area_sweep_detected,area_expected,expected_rank,rank_matches_expectation,internal_sign_change_count,oscillation_detected,decay_rate_V_AB,max_Q_raw_abs,max_Q_closed_abs,tau_is_step_used,external_c_used,absolute_background_axis_used,f_A_or_f_B_used
near_pi_02deg,2.0,Protocol_F,tau_disabled_control,disabled,readout_off,False,720,-0.03490658503988659,0.03490658503988659,0.0,1,1,0.0,False,False,False,1,True,15,True,-2.545422914013389e-18,0.0,0.0,False,False,False,False
near_pi_02deg,2.0,Protocol_F,tau_disabled_control,disabled,readout_weak,True,720,-0.03488983381592664,0.03490658503988659,0.0,1,1,0.0,False,False,False,1,True,15,True,-2.0000100000581632e-05,1.2184696791468344e-08,0.0,False,False,False,False
near_pi_02deg,2.0,Protocol_F,tau_disabled_control,disabled,readout_normal,True,720,-0.034822907596935085,0.03490658503988659,0.0,1,1,0.0,False,False,False,1,True,15,True,-0.00010000250008333048,6.092348395734172e-08,0.0,False,False,False,False
near_pi_02deg,2.0,Protocol_F,tau_disabled_control,disabled,readout_strong,True,720,-0.03457305198951465,0.03490658503988659,0.0,1,1,0.0,False,False,False,1,True,15,True,-0.000400040005334092,2.4369393582936687e-07,0.0,False,False,False,False
near_pi_02deg,2.0,Protocol_F,tau_locked_0deg,locked,readout_off,False,720,-0.03490658503988659,0.03490658503988659,0.0,1,1,0.0,True,False,False,1,True,15,True,-2.545422914013389e-18,0.0,0.0,False,False,False,False
near_pi_02deg,2.0,Protocol_F,tau_locked_0deg,locked,readout_weak,True,720,-0.03488983381592664,0.03490658503988659,0.0,1,1,0.0,True,False,False,1,True,15,True,-2.0000100000581632e-05,1.523087098933543e-08,0.0,False,False,False,False
near_pi_02deg,2.0,Protocol_F,tau_locked_0deg,locked,readout_normal,True,720,-0.034822907596935085,0.03490658503988659,0.0,1,1,0.0,True,False,False,1,True,15,True,-0.00010000250008333048,7.615435494667714e-08,0.0,False,False,False,False
near_pi_02deg,2.0,Protocol_F,tau_locked_0deg,locked,readout_strong,True,720,-0.03457305198951465,0.03490658503988659,0.0,1,1,0.0,True,False,False,1,True,15,True,-0.000400040005334092,3.046174197867086e-07,0.0,False,False,False,False
near_pi_02deg,2.0,Protocol_F,tau_locked_90deg,locked_offset,readout_off,False,720,-0.03490658503988659,0.03490658503988659,6.938893903907228e-18,1,1,2.220446049250313e-16,True,False,False,1,True,15,True,-2.545422914013389e-18,0.0,0.0,False,False,False,False
near_pi_02deg,2.0,Protocol_F,tau_locked_90deg,locked_offset,readout_weak,True,720,-0.03488983381592664,0.03490658503988659,6.938893903907228e-18,1,1,2.220446049250313e-16,True,False,False,1,True,15,True,-2.0000100000581632e-05,1.523087098933543e-08,0.0,False,False,False,False
near_pi_02deg,2.0,Protocol_F,tau_locked_90deg,locked_offset,readout_normal,True,720,-0.034822907596935085,0.03490658503988659,1.0408340855860843e-17,1,1,2.220446049250313e-16,True,False,False,1,True,15,True,-0.00010000250008333048,7.615435494667714e-08,0.0,False,False,False,False
near_pi_02deg,2.0,Protocol_F,tau_locked_90deg,locked_offset,readout_strong,True,720,-0.03457305198951465,0.03490658503988659,6.938893903907228e-18,1,1,3.3306690738754696e-16,True,False,False,1,True,15,True,-0.000400040005334092,3.046174197867086e-07,0.0,False,False,False,False
near_pi_02deg,2.0,Protocol_F,tau_independent_slow,independent,readout_off,False,720,-0.03490658503988659,0.03490658503988659,0.003248672606784792,2,2,0.9997322758191283,False,True,True,2,True,15,True,-2.545422914013389e-18,0.0,0.0,False,False,False,False
near_pi_02deg,2.0,Protocol_F,tau_independent_slow,independent,readout_weak,True,720,-0.03488983381592664,0.03490658503988659,0.003242441352605481,2,2,1.0001293538666047,False,True,True,2,True,15,True,-2.0000100000581632e-05,1.523087098933543e-08,0.0,False,False,False,False
near_pi_02deg,2.0,Protocol_F,tau_independent_slow,independent,readout_normal,True,720,-0.034822907596935085,0.03490658503988659,0.003217639857740998,2,2,1.0017183183396607,False,True,True,2,True,15,True,-0.00010000250008333048,7.615435494667714e-08,0.0,False,False,False,False
near_pi_02deg,2.0,Protocol_F,tau_independent_slow,independent,readout_strong,True,720,-0.03457305198951465,0.03490658503988659,0.0031263705987174773,2,2,1.0076861969796984,False,True,True,2,True,15,True,-0.000400040005334092,3.046174197867086e-07,0.0,False,False,False,False
near_pi_02deg,2.0,Protocol_F,tau_independent_c1,independent,readout_off,False,720,-0.03490658503988659,0.03490658503988659,0.0038252030346360663,2,2,2.3314683517128287e-15,True,True,True,2,True,15,True,-2.545422914013389e-18,0.0,0.0,False,False,False,False
near_pi_02deg,2.0,Protocol_F,tau_independent_c1,independent,readout_weak,True,720,-0.03488983381592664,0.03490658503988659,0.0038215331703986065,2,2,0.00015291033469400084,False,True,True,2,True,15,True,-2.0000100000581632e-05,1.523087098933543e-08,0.0,False,False,False,False
