case_id,initial_deviation_deg,scattering_protocol,scattering_kind,scattering_matrix_used,tau_mode,tau_kind,readout_mode,step_count,max_abs_A_chi_tau,rank_chi_tau,expected_rank,max_epsilon_c_abs,c1_calibrated,area_sweep_detected,area_expected,rank_matches_expectation,decay_rate_V_AB,max_Q_closed_abs,tau_is_step_used,external_c_used,absolute_background_axis_used,f_A_or_f_B_used
near_pi_02deg,2.0,pass_through,pass,False,tau_disabled_control,disabled,readout_off,720,0.0,1,1,0.0,False,False,False,True,-2.545422914013389e-18,0.0,False,False,False,False
near_pi_02deg,2.0,pass_through,pass,False,tau_disabled_control,disabled,readout_weak,720,0.0,1,1,0.0,False,False,False,True,-2.0000100000581632e-05,0.0,False,False,False,False
near_pi_02deg,2.0,pass_through,pass,False,tau_disabled_control,disabled,readout_normal,720,0.0,1,1,0.0,False,False,False,True,-0.00010000250008333048,0.0,False,False,False,False
near_pi_02deg,2.0,pass_through,pass,False,tau_disabled_control,disabled,readout_strong,720,0.0,1,1,0.0,False,False,False,True,-0.000400040005334092,0.0,False,False,False,False
near_pi_02deg,2.0,pass_through,pass,False,tau_locked_0deg,locked,readout_off,720,0.0,1,1,0.0,True,False,False,True,-2.545422914013389e-18,0.0,False,False,False,False
near_pi_02deg,2.0,pass_through,pass,False,tau_locked_0deg,locked,readout_weak,720,0.0,1,1,0.0,True,False,False,True,-2.0000100000581632e-05,0.0,False,False,False,False
near_pi_02deg,2.0,pass_through,pass,False,tau_locked_0deg,locked,readout_normal,720,0.0,1,1,0.0,True,False,False,True,-0.00010000250008333048,0.0,False,False,False,False
near_pi_02deg,2.0,pass_through,pass,False,tau_locked_0deg,locked,readout_strong,720,0.0,1,1,0.0,True,False,False,True,-0.000400040005334092,0.0,False,False,False,False
near_pi_02deg,2.0,pass_through,pass,False,tau_independent_c1,independent,readout_off,720,0.0038252030346360663,2,2,2.3314683517128287e-15,True,True,True,True,-2.545422914013389e-18,0.0,False,False,False,False
near_pi_02deg,2.0,pass_through,pass,False,tau_independent_c1,independent,readout_weak,720,0.0038215331703986065,2,2,0.00015291033469400084,False,True,True,True,-2.0000100000581632e-05,0.0,False,False,False,False
near_pi_02deg,2.0,pass_through,pass,False,tau_independent_c1,independent,readout_normal,720,0.003806900216747841,2,2,0.0007648005411389214,False,True,True,True,-0.00010000250008333048,0.0,False,False,False,False
near_pi_02deg,2.0,pass_through,pass,False,tau_independent_c1,independent,readout_strong,720,0.00375268307733001,2,2,0.003062925647902448,False,True,True,True,-0.000400040005334092,0.0,False,False,False,False
near_pi_02deg,2.0,display_reflection,display_reflection,False,tau_disabled_control,disabled,readout_off,720,0.0,1,1,0.0,False,False,False,True,-2.545422914013389e-18,0.0,False,False,False,False
near_pi_02deg,2.0,display_reflection,display_reflection,False,tau_disabled_control,disabled,readout_weak,720,0.0,1,1,0.0,False,False,False,True,-2.0000100000581632e-05,0.0,False,False,False,False
near_pi_02deg,2.0,display_reflection,display_reflection,False,tau_disabled_control,disabled,readout_normal,720,0.0,1,1,0.0,False,False,False,True,-0.00010000250008333048,0.0,False,False,False,False
near_pi_02deg,2.0,display_reflection,display_reflection,False,tau_disabled_control,disabled,readout_strong,720,0.0,1,1,0.0,False,False,False,True,-0.000400040005334092,0.0,False,False,False,False
near_pi_02deg,2.0,display_reflection,display_reflection,False,tau_locked_0deg,locked,readout_off,720,0.0,1,1,0.0,True,False,False,True,-2.545422914013389e-18,0.0,False,False,False,False
near_pi_02deg,2.0,display_reflection,display_reflection,False,tau_locked_0deg,locked,readout_weak,720,0.0,1,1,0.0,True,False,False,True,-2.0000100000581632e-05,0.0,False,False,False,False
near_pi_02deg,2.0,display_reflection,display_reflection,False,tau_locked_0deg,locked,readout_normal,720,0.0,1,1,0.0,True,False,False,True,-0.00010000250008333048,0.0,False,False,False,False
near_pi_02deg,2.0,display_reflection,display_reflection,False,tau_locked_0deg,locked,readout_strong,720,0.0,1,1,0.0,True,False,False,True,-0.000400040005334092,0.0,False,False,False,False
near_pi_02deg,2.0,display_reflection,display_reflection,False,tau_independent_c1,independent,readout_off,720,1.5585406229479126e-18,2,2,8.770761894538737e-15,True,False,True,True,-2.545422914013389e-18,0.0,False,False,False,False
near_pi_02deg,2.0,display_reflection,display_reflection,False,tau_independent_c1,independent,readout_weak,720,1.8334646739497069e-06,2,2,0.0001529103346937788,False,True,True,True,-2.0000100000581632e-05,0.0,False,False,False,False
near_pi_02deg,2.0,display_reflection,display_reflection,False,tau_independent_c1,independent,readout_normal,720,9.114868892946203e-06,2,2,0.0007648005411384773,False,True,True,True,-0.00010000250008333048,0.0,False,False,False,False
near_pi_02deg,2.0,display_reflection,display_reflection,False,tau_independent_c1,independent,readout_strong,720,3.568400298230821e-05,2,2,0.003062925647902004,False,True,True,True,-0.000400040005334092,0.0,False,False,False,False
near_pi_02deg,2.0,fermionic_reflection_pi,fermionic_reflection,True,tau_disabled_control,disabled,readout_off,720,0.0,1,1,0.0,False,False,False,True,-2.545422914013389e-18,0.0,False,False,False,False
near_pi_02deg,2.0,fermionic_reflection_pi,fermionic_reflection,True,tau_disabled_control,disabled,readout_weak,720,0.0,1,1,0.0,False,False,False,True,-2.0000100000581632e-05,0.0,False,False,False,False
near_pi_02deg,2.0,fermionic_reflection_pi,fermionic_reflection,True,tau_disabled_control,disabled,readout_normal,720,0.0,1,1,0.0,False,False,False,True,-0.00010000250008333048,0.0,False,False,False,False
near_pi_02deg,2.0,fermionic_reflection_pi,fermionic_reflection,True,tau_disabled_control,disabled,readout_strong,720,0.0,1,1,0.0,False,False,False,True,-0.000400040005334092,0.0,False,False,False,False
near_pi_02deg,2.0,fermionic_reflection_pi,fermionic_reflection,True,tau_locked_0deg,locked,readout_off,720,0.0,1,1,0.0,True,False,False,True,-2.545422914013389e-18,0.0,False,False,False,False
near_pi_02deg,2.0,fermionic_reflection_pi,fermionic_reflection,True,tau_locked_0deg,locked,readout_weak,720,0.0,1,1,0.0,True,False,False,True,-2.0000100000581632e-05,0.0,False,False,False,False
near_pi_02deg,2.0,fermionic_reflection_pi,fermionic_reflection,True,tau_locked_0deg,locked,readout_normal,720,0.0,1,1,0.0,True,False,False,True,-0.00010000250008333048,0.0,False,False,False,False
near_pi_02deg,2.0,fermionic_reflection_pi,fermionic_reflection,True,tau_locked_0deg,locked,readout_strong,720,0.0,1,1,0.0,True,False,False,True,-0.000400040005334092,0.0,False,False,False,False
near_pi_02deg,2.0,fermionic_reflection_pi,fermionic_reflection,True,tau_independent_c1,independent,readout_off,720,0.0038252030346360663,2,2,2.3314683517128287e-15,True,True,True,True,-2.545422914013389e-18,0.0,False,False,False,False
near_pi_02deg,2.0,fermionic_reflection_pi,fermionic_reflection,True,tau_independent_c1,independent,readout_weak,720,0.0038215331703986065,2,2,0.00015291033469400084,False,True,True,True,-2.0000100000581632e-05,0.0,False,False,False,False
near_pi_02deg,2.0,fermionic_reflection_pi,fermionic_reflection,True,tau_independent_c1,independent,readout_normal,720,0.003806900216747841,2,2,0.0007648005411389214,False,True,True,True,-0.00010000250008333048,0.0,False,False,False,False
near_pi_02deg,2.0,fermionic_reflection_pi,fermionic_reflection,True,tau_independent_c1,independent,readout_strong,720,0.00375268307733001,2,2,0.003062925647902448,False,True,True,True,-0.000400040005334092,0.0,False,False,False,False
near_pi_05deg,5.0,pass_through,pass,False,tau_disabled_control,disabled,readout_off,720,0.0,1,1,0.0,False,False,False,True,1.2727114570066945e-18,0.0,False,False,False,False
near_pi_05deg,5.0,pass_through,pass,False,tau_disabled_control,disabled,readout_weak,720,0.0,1,1,0.0,False,False,False,True,-2.0000100000577814e-05,0.0,False,False,False,False
near_pi_05deg,5.0,pass_through,pass,False,tau_disabled_control,disabled,readout_normal,720,0.0,1,1,0.0,False,False,False,True,-0.00010000250008333303,0.0,False,False,False,False
near_pi_05deg,5.0,pass_through,pass,False,tau_disabled_control,disabled,readout_strong,720,0.0,1,1,0.0,False,False,False,True,-0.00040004000533409075,0.0,False,False,False,False
near_pi_05deg,5.0,pass_through,pass,False,tau_locked_0deg,locked,readout_off,720,0.0,1,1,0.0,True,False,False,True,1.2727114570066945e-18,0.0,False,False,False,False
near_pi_05deg,5.0,pass_through,pass,False,tau_locked_0deg,locked,readout_weak,720,0.0,1,1,0.0,True,False,False,True,-2.0000100000577814e-05,0.0,False,False,False,False
near_pi_05deg,5.0,pass_through,pass,False,tau_locked_0deg,locked,readout_normal,720,0.0,1,1,0.0,True,False,False,True,-0.00010000250008333303,0.0,False,False,False,False
near_pi_05deg,5.0,pass_through,pass,False,tau_locked_0deg,locked,readout_strong,720,0.0,1,1,0.0,True,False,False,True,-0.00040004000533409075,0.0,False,False,False,False
near_pi_05deg,5.0,pass_through,pass,False,tau_independent_c1,independent,readout_off,720,0.023907518966475413,2,2,2.220446049250313e-15,True,True,True,True,1.2727114570066945e-18,0.0,False,False,False,False
near_pi_05deg,5.0,pass_through,pass,False,tau_independent_c1,independent,readout_weak,720,0.023884582314991288,2,2,0.00015291033469400084,False,True,True,True,-2.0000100000577814e-05,0.0,False,False,False,False
near_pi_05deg,5.0,pass_through,pass,False,tau_independent_c1,independent,readout_normal,720,0.023793126354673996,2,2,0.0007648005411389214,False,True,True,True,-0.00010000250008333303,0.0,False,False,False,False
near_pi_05deg,5.0,pass_through,pass,False,tau_independent_c1,independent,readout_strong,720,0.023454269233312564,2,2,0.003062925647902448,False,True,True,True,-0.00040004000533409075,0.0,False,False,False,False
near_pi_05deg,5.0,display_reflection,display_reflection,False,tau_disabled_control,disabled,readout_off,720,0.0,1,1,0.0,False,False,False,True,1.2727114570066945e-18,0.0,False,False,False,False
