case_id,initial_deviation_deg,scattering_protocol,scattering_kind,scattering_matrix_used,delta_f,reflection_rate,transmission_rate,q_out_factor,readout_mode,active_readout,step_count,reflection_event_cell_count,V_AB_min,V_AB_max,envelope_V_AB_initial,envelope_V_AB_final,envelope_ratio_final_over_initial,decay_rate_V_AB,sign_change_count_chi_read,oscillation_detected,max_Q_raw_abs,max_Q_closed_abs,max_f_AB_projection_consistency_error_all_cells,max_f_AB_projection_consistency_error_regular_cells,regular_cell_harmonic_consistent,absolute_background_axis_used,f_A_or_f_B_used
near_pi_02deg,2.0,pass_through,pass,False,0.0,0.0,1.0,1.0,readout_off,False,720,45,4.568529552943299e-36,0.0012184696791468343,0.0012184696791468343,0.0012184696791468343,1.0,-2.545422914013389e-18,15,True,0.0,0.0,2.478708250405225e-16,2.4753860257149124e-16,True,False,False
near_pi_02deg,2.0,pass_through,pass,False,0.0,0.0,1.0,1.0,readout_weak,True,720,45,4.566337174009022e-36,0.0012184696791468343,0.0012184696791468343,0.0012010493560156313,0.9857031131514076,-2.0000100000581632e-05,15,True,1.2184696791468344e-08,0.0,4.564926896253583e-08,4.555221363921618e-08,True,False,False
near_pi_02deg,2.0,pass_through,pass,False,0.0,0.0,1.0,1.0,readout_normal,True,720,45,4.5575779553979695e-36,0.0012184696791468343,0.0012184696791468343,0.0011338216411064825,0.9305292208012744,-0.00010000250008333048,15,True,6.092348395734172e-08,0.0,2.2803188766449534e-07,2.275607206425075e-07,True,False,False
near_pi_02deg,2.0,pass_through,pass,False,0.0,0.0,1.0,1.0,readout_strong,True,720,45,4.524877170569993e-36,0.0012184696791468343,0.0012184696791468343,0.0009135354530236376,0.7497399965367132,-0.000400040005334092,15,True,2.4369393582936687e-07,0.0,9.089175649558494e-07,9.072436576161511e-07,True,False,False
near_pi_02deg,2.0,display_reflection,display_reflection,False,3.141592653589793,1.0,3.749399456654644e-33,-1.0,readout_off,False,720,45,4.568529552943299e-36,0.0012184696791468343,0.0012184696791468343,0.0012184696791468343,1.0,-2.545422914013389e-18,0,True,0.0,0.0,0.00456599978469336,2.4753860257149124e-16,True,False,False
near_pi_02deg,2.0,display_reflection,display_reflection,False,3.141592653589793,1.0,3.749399456654644e-33,-1.0,readout_weak,True,720,45,4.566337174009022e-36,0.0012184696791468343,0.0012184696791468343,0.0012010493560156313,0.9857031131514076,-2.0000100000581632e-05,0,True,1.2184696791468344e-08,0.0,0.004564904070985639,4.555221363921618e-08,True,False,False
near_pi_02deg,2.0,display_reflection,display_reflection,False,3.141592653589793,1.0,3.749399456654644e-33,-1.0,readout_normal,True,720,45,4.5575779553979695e-36,0.0012184696791468343,0.0012184696791468343,0.0011338216411064825,0.9305292208012744,-0.00010000250008333048,0,True,6.092348395734172e-08,0.0,0.004560523740037625,2.275607206425075e-07,True,False,False
near_pi_02deg,2.0,display_reflection,display_reflection,False,3.141592653589793,1.0,3.749399456654644e-33,-1.0,readout_strong,True,720,45,4.524877170569993e-36,0.0012184696791468343,0.0012184696791468343,0.0009135354530236376,0.7497399965367132,-0.000400040005334092,0,True,2.4369393582936687e-07,0.0,0.004544133411410203,9.072436576161511e-07,True,False,False
near_pi_02deg,2.0,fermionic_reflection_pi,fermionic_reflection,True,3.141592653589793,1.0,3.749399456654644e-33,-1.0,readout_off,False,720,45,4.568529552943299e-36,0.0012184696791468343,0.0012184696791468343,0.0012184696791468343,1.0,-2.545422914013389e-18,15,True,0.0,0.0,2.478708250405225e-16,2.4753860257149124e-16,True,False,False
near_pi_02deg,2.0,fermionic_reflection_pi,fermionic_reflection,True,3.141592653589793,1.0,3.749399456654644e-33,-1.0,readout_weak,True,720,45,4.566337174009022e-36,0.0012184696791468343,0.0012184696791468343,0.0012010493560156313,0.9857031131514076,-2.0000100000581632e-05,15,True,1.2184696791468344e-08,0.0,4.564926896253583e-08,4.555221363921618e-08,True,False,False
near_pi_02deg,2.0,fermionic_reflection_pi,fermionic_reflection,True,3.141592653589793,1.0,3.749399456654644e-33,-1.0,readout_normal,True,720,45,4.5575779553979695e-36,0.0012184696791468343,0.0012184696791468343,0.0011338216411064825,0.9305292208012744,-0.00010000250008333048,15,True,6.092348395734172e-08,0.0,2.2803188766449534e-07,2.275607206425075e-07,True,False,False
near_pi_02deg,2.0,fermionic_reflection_pi,fermionic_reflection,True,3.141592653589793,1.0,3.749399456654644e-33,-1.0,readout_strong,True,720,45,4.524877170569993e-36,0.0012184696791468343,0.0012184696791468343,0.0009135354530236376,0.7497399965367132,-0.000400040005334092,15,True,2.4369393582936687e-07,0.0,9.089175649558494e-07,9.072436576161511e-07,True,False,False
near_pi_05deg,5.0,pass_through,pass,False,0.0,0.0,1.0,1.0,readout_off,False,720,45,2.8553309705895616e-35,0.007615435494667714,0.007615435494667714,0.007615435494667714,1.0,1.2727114570066945e-18,15,True,0.0,0.0,6.201433138709744e-16,6.201433138709744e-16,True,False,False
near_pi_05deg,5.0,pass_through,pass,False,0.0,0.0,1.0,1.0,readout_weak,True,720,45,2.853960733755638e-35,0.007615435494667714,0.007615435494667714,0.007506558475097696,0.9857031131514077,-2.0000100000577814e-05,15,True,7.615435494667714e-08,0.0,1.1412317240612274e-07,1.1388053409673772e-07,True,False,False
near_pi_05deg,5.0,pass_through,pass,False,0.0,0.0,1.0,1.0,readout_normal,True,720,45,2.84848622212373e-35,0.007615435494667714,0.007615435494667714,0.007086385256915514,0.9305292208012741,-0.00010000250008333303,15,True,3.807717747333857e-07,0.0,5.700797191601541e-07,5.689018016071293e-07,True,False,False
near_pi_05deg,5.0,pass_through,pass,False,0.0,0.0,1.0,1.0,readout_strong,True,720,45,2.828048231606245e-35,0.007615435494667714,0.007615435494667714,0.005709596581397734,0.7497399965367131,-0.00040004000533409075,15,True,1.5230870989335428e-06,0.0,2.2722939123911414e-06,2.2681091440416804e-06,True,False,False
near_pi_05deg,5.0,display_reflection,display_reflection,False,3.141592653589793,1.0,3.749399456654644e-33,-1.0,readout_off,False,720,45,2.8553309705895616e-35,0.007615435494667714,0.007615435494667714,0.007615435494667714,1.0,1.2727114570066945e-18,0,True,0.0,0.0,0.0114149994617334,6.201433138709744e-16,True,False,False
near_pi_05deg,5.0,display_reflection,display_reflection,False,3.141592653589793,1.0,3.749399456654644e-33,-1.0,readout_weak,True,720,45,2.853960733755638e-35,0.007615435494667714,0.007615435494667714,0.007506558475097696,0.9857031131514077,-2.0000100000577814e-05,0,True,7.615435494667714e-08,0.0,0.0114122601774641,1.1388053409673772e-07,True,False,False
near_pi_05deg,5.0,display_reflection,display_reflection,False,3.141592653589793,1.0,3.749399456654644e-33,-1.0,readout_normal,True,720,45,2.84848622212373e-35,0.007615435494667714,0.007615435494667714,0.007086385256915514,0.9305292208012741,-0.00010000250008333303,0,True,3.807717747333857e-07,0.0,0.011401309350094063,5.689018016071293e-07,True,False,False
near_pi_05deg,5.0,display_reflection,display_reflection,False,3.141592653589793,1.0,3.749399456654644e-33,-1.0,readout_strong,True,720,45,2.828048231606245e-35,0.007615435494667714,0.007615435494667714,0.005709596581397734,0.7497399965367131,-0.00040004000533409075,0,True,1.5230870989335428e-06,0.0,0.011360333528525508,2.2681091440416804e-06,True,False,False
near_pi_05deg,5.0,fermionic_reflection_pi,fermionic_reflection,True,3.141592653589793,1.0,3.749399456654644e-33,-1.0,readout_off,False,720,45,2.8553309705895616e-35,0.007615435494667714,0.007615435494667714,0.007615435494667714,1.0,1.2727114570066945e-18,15,True,0.0,0.0,6.201433138709744e-16,6.201433138709744e-16,True,False,False
near_pi_05deg,5.0,fermionic_reflection_pi,fermionic_reflection,True,3.141592653589793,1.0,3.749399456654644e-33,-1.0,readout_weak,True,720,45,2.853960733755638e-35,0.007615435494667714,0.007615435494667714,0.007506558475097696,0.9857031131514077,-2.0000100000577814e-05,15,True,7.615435494667714e-08,0.0,1.1412317240612274e-07,1.1388053409673772e-07,True,False,False
near_pi_05deg,5.0,fermionic_reflection_pi,fermionic_reflection,True,3.141592653589793,1.0,3.749399456654644e-33,-1.0,readout_normal,True,720,45,2.84848622212373e-35,0.007615435494667714,0.007615435494667714,0.007086385256915514,0.9305292208012741,-0.00010000250008333303,15,True,3.807717747333857e-07,0.0,5.700797191601541e-07,5.689018016071293e-07,True,False,False
near_pi_05deg,5.0,fermionic_reflection_pi,fermionic_reflection,True,3.141592653589793,1.0,3.749399456654644e-33,-1.0,readout_strong,True,720,45,2.828048231606245e-35,0.007615435494667714,0.007615435494667714,0.005709596581397734,0.7497399965367131,-0.00040004000533409075,15,True,1.5230870989335428e-06,0.0,2.2722939123911414e-06,2.2681091440416804e-06,True,False,False
near_pi_10deg,10.0,pass_through,pass,False,0.0,0.0,1.0,1.0,readout_off,False,720,45,1.1421323882358246e-34,0.030461741978670857,0.030461741978670857,0.030461741978670857,1.0,-4.4544900995234305e-18,15,True,0.0,0.0,1.2402866277419489e-15,1.2402866277419489e-15,True,False,False
near_pi_10deg,10.0,pass_through,pass,False,0.0,0.0,1.0,1.0,readout_weak,True,720,45,1.1415842935022553e-34,0.030461741978670857,0.030461741978670857,0.030026233900390786,0.9857031131514077,-2.0000100000579084e-05,15,True,3.046174197867086e-07,0.0,2.2824634481224548e-07,2.2776106819347543e-07,True,False,False
near_pi_10deg,10.0,pass_through,pass,False,0.0,0.0,1.0,1.0,readout_normal,True,720,45,1.139394488849492e-34,0.030461741978670857,0.030461741978670857,0.028345541027662055,0.9305292208012741,-0.00010000250008333112,15,True,1.5230870989335428e-06,0.0,1.1401594383203082e-06,1.1378036032142587e-06,True,False,False
near_pi_10deg,10.0,pass_through,pass,False,0.0,0.0,1.0,1.0,readout_strong,True,720,45,1.131219292642498e-34,0.030461741978670857,0.030461741978670857,0.022838386325590935,0.7497399965367131,-0.0004000400053340933,15,True,6.092348395734171e-06,0.0,4.544587824782283e-06,4.536218288083361e-06,False,False,False
near_pi_10deg,10.0,display_reflection,display_reflection,False,3.141592653589793,1.0,3.749399456654644e-33,-1.0,readout_off,False,720,45,1.1421323882358246e-34,0.030461741978670857,0.030461741978670857,0.030461741978670857,1.0,-4.4544900995234305e-18,0,True,0.0,0.0,0.0228299989234668,1.2402866277419489e-15,True,False,False
near_pi_10deg,10.0,display_reflection,display_reflection,False,3.141592653589793,1.0,3.749399456654644e-33,-1.0,readout_weak,True,720,45,1.1415842935022553e-34,0.030461741978670857,0.030461741978670857,0.030026233900390786,0.9857031131514077,-2.0000100000579084e-05,0,True,3.046174197867086e-07,0.0,0.0228245203549282,2.2776106819347543e-07,True,False,False
near_pi_10deg,10.0,display_reflection,display_reflection,False,3.141592653589793,1.0,3.749399456654644e-33,-1.0,readout_normal,True,720,45,1.139394488849492e-34,0.030461741978670857,0.030461741978670857,0.028345541027662055,0.9305292208012741,-0.00010000250008333112,0,True,1.5230870989335428e-06,0.0,0.022802618700188126,1.1378036032142587e-06,True,False,False
near_pi_10deg,10.0,display_reflection,display_reflection,False,3.141592653589793,1.0,3.749399456654644e-33,-1.0,readout_strong,True,720,45,1.131219292642498e-34,0.030461741978670857,0.030461741978670857,0.022838386325590935,0.7497399965367131,-0.0004000400053340933,0,True,6.092348395734171e-06,0.0,0.022720667057051017,4.536218288083361e-06,False,False,False
near_pi_10deg,10.0,fermionic_reflection_pi,fermionic_reflection,True,3.141592653589793,1.0,3.749399456654644e-33,-1.0,readout_off,False,720,45,1.1421323882358246e-34,0.030461741978670857,0.030461741978670857,0.030461741978670857,1.0,-4.4544900995234305e-18,15,True,0.0,0.0,1.2402866277419489e-15,1.2402866277419489e-15,True,False,False
near_pi_10deg,10.0,fermionic_reflection_pi,fermionic_reflection,True,3.141592653589793,1.0,3.749399456654644e-33,-1.0,readout_weak,True,720,45,1.1415842935022553e-34,0.030461741978670857,0.030461741978670857,0.030026233900390786,0.9857031131514077,-2.0000100000579084e-05,15,True,3.046174197867086e-07,0.0,2.2824634481224548e-07,2.2776106819347543e-07,True,False,False
near_pi_10deg,10.0,fermionic_reflection_pi,fermionic_reflection,True,3.141592653589793,1.0,3.749399456654644e-33,-1.0,readout_normal,True,720,45,1.139394488849492e-34,0.030461741978670857,0.030461741978670857,0.028345541027662055,0.9305292208012741,-0.00010000250008333112,15,True,1.5230870989335428e-06,0.0,1.1401594383203082e-06,1.1378036032142587e-06,True,False,False
near_pi_10deg,10.0,fermionic_reflection_pi,fermionic_reflection,True,3.141592653589793,1.0,3.749399456654644e-33,-1.0,readout_strong,True,720,45,1.131219292642498e-34,0.030461741978670857,0.030461741978670857,0.022838386325590935,0.7497399965367131,-0.0004000400053340933,15,True,6.092348395734171e-06,0.0,4.544587824782283e-06,4.536218288083361e-06,False,False,False
near_pi_20deg,20.0,pass_through,pass,False,0.0,0.0,1.0,1.0,readout_off,False,720,45,4.5685295529432985e-34,0.12184696791468343,0.12184696791468343,0.12184696791468343,1.0,-2.8636007782650622e-18,15,True,0.0,0.0,2.4805732554838977e-15,2.4805732554838977e-15,True,False,False
near_pi_20deg,20.0,pass_through,pass,False,0.0,0.0,1.0,1.0,readout_weak,True,720,45,4.566337174009021e-34,0.12184696791468343,0.12184696791468343,0.12010493560156314,0.9857031131514077,-2.0000100000577177e-05,15,True,1.2184696791468343e-06,0.0,4.5649268962449097e-07,4.5552213638695087e-07,True,False,False
near_pi_20deg,20.0,pass_through,pass,False,0.0,0.0,1.0,1.0,readout_normal,True,720,45,4.557577955397968e-34,0.12184696791468343,0.12184696791468343,0.11338216411064822,0.9305292208012741,-0.00010000250008332826,15,True,6.092348395734171e-06,0.0,2.2803188766406164e-06,2.2756072064285173e-06,True,False,False
near_pi_20deg,20.0,pass_through,pass,False,0.0,0.0,1.0,1.0,readout_strong,True,720,45,4.524877170569992e-34,0.12184696791468343,0.12184696791468343,0.09135354530236374,0.7497399965367131,-0.00040004000533409265,15,True,2.4369393582936685e-05,0.0,9.089175649564565e-06,9.072436576166722e-06,False,False,False
near_pi_20deg,20.0,display_reflection,display_reflection,False,3.141592653589793,1.0,3.749399456654644e-33,-1.0,readout_off,False,720,45,4.5685295529432985e-34,0.12184696791468343,0.12184696791468343,0.12184696791468343,1.0,-2.8636007782650622e-18,0,True,0.0,0.0,0.0456599978469336,2.4805732554838977e-15,True,False,False
near_pi_20deg,20.0,display_reflection,display_reflection,False,3.141592653589793,1.0,3.749399456654644e-33,-1.0,readout_weak,True,720,45,4.566337174009021e-34,0.12184696791468343,0.12184696791468343,0.12010493560156314,0.9857031131514077,-2.0000100000577177e-05,0,True,1.2184696791468343e-06,0.0,0.0456490407098564,4.5552213638695087e-07,True,False,False
near_pi_20deg,20.0,display_reflection,display_reflection,False,3.141592653589793,1.0,3.749399456654644e-33,-1.0,readout_normal,True,720,45,4.557577955397968e-34,0.12184696791468343,0.12184696791468343,0.11338216411064822,0.9305292208012741,-0.00010000250008332826,0,True,6.092348395734171e-06,0.0,0.04560523740037625,2.2756072064285173e-06,True,False,False
near_pi_20deg,20.0,display_reflection,display_reflection,False,3.141592653589793,1.0,3.749399456654644e-33,-1.0,readout_strong,True,720,45,4.524877170569992e-34,0.12184696791468343,0.12184696791468343,0.09135354530236374,0.7497399965367131,-0.00040004000533409265,0,True,2.4369393582936685e-05,0.0,0.04544133411410203,9.072436576166722e-06,False,False,False
near_pi_20deg,20.0,fermionic_reflection_pi,fermionic_reflection,True,3.141592653589793,1.0,3.749399456654644e-33,-1.0,readout_off,False,720,45,4.5685295529432985e-34,0.12184696791468343,0.12184696791468343,0.12184696791468343,1.0,-2.8636007782650622e-18,15,True,0.0,0.0,2.4805732554838977e-15,2.4805732554838977e-15,True,False,False
near_pi_20deg,20.0,fermionic_reflection_pi,fermionic_reflection,True,3.141592653589793,1.0,3.749399456654644e-33,-1.0,readout_weak,True,720,45,4.566337174009021e-34,0.12184696791468343,0.12184696791468343,0.12010493560156314,0.9857031131514077,-2.0000100000577177e-05,15,True,1.2184696791468343e-06,0.0,4.5649268962449097e-07,4.5552213638695087e-07,True,False,False
near_pi_20deg,20.0,fermionic_reflection_pi,fermionic_reflection,True,3.141592653589793,1.0,3.749399456654644e-33,-1.0,readout_normal,True,720,45,4.557577955397968e-34,0.12184696791468343,0.12184696791468343,0.11338216411064822,0.9305292208012741,-0.00010000250008332826,15,True,6.092348395734171e-06,0.0,2.2803188766406164e-06,2.2756072064285173e-06,True,False,False
near_pi_20deg,20.0,fermionic_reflection_pi,fermionic_reflection,True,3.141592653589793,1.0,3.749399456654644e-33,-1.0,readout_strong,True,720,45,4.524877170569992e-34,0.12184696791468343,0.12184696791468343,0.09135354530236374,0.7497399965367131,-0.00040004000533409265,15,True,2.4369393582936685e-05,0.0,9.089175649564565e-06,9.072436576166722e-06,False,False,False
