period_steps,deviation_deg,protocol,decay_abs_monotonic_by_leak,normalized_f_error_monotonic_by_leak,decay_abs_values,normalized_f_error_values
48,1.0,Protocol_F,True,True,6.8557657892784385e-17;2.0000010002041215e-06;2.0000100000558153e-05;1.0000250008338054e-04;4.0004000533407731e-04;2.0010006671671585e-03,1.9878466759146980e-16;2.6104938235439457e-07;2.6102236499404676e-06;1.3045115939839316e-05;5.2090519060146818e-05;2.5806602554322437e-04
48,1.0,Protocol_B,True,True,6.8557657892784385e-17;2.0000010002041215e-06;2.0000100000558153e-05;1.0000250008338054e-04;4.0004000533407731e-04;2.0010006671671585e-03,1.9878466759146980e-16;2.6104938235439457e-07;2.6102236499404676e-06;1.3045115939839316e-05;5.2090519060146818e-05;2.5806602554322437e-04
48,2.0,Protocol_F,True,True,7.5086958644478128e-17;2.0000010001845335e-06;2.0000100000554886e-05;1.0000250008336748e-04;4.0004000533407731e-04;2.0010006671671485e-03,1.9878466759146980e-16;2.6104938235439457e-07;2.6102236499404676e-06;1.3045115939839316e-05;5.2090519060146818e-05;2.5806602554322437e-04
48,2.0,Protocol_B,True,True,7.5086958644478128e-17;2.0000010001845335e-06;2.0000100000554886e-05;1.0000250008336748e-04;4.0004000533407731e-04;2.0010006671671485e-03,1.9878466759146980e-16;2.6104938235439457e-07;2.6102236499404676e-06;1.3045115939839316e-05;5.2090519060146818e-05;2.5806602554322437e-04
48,5.0,Protocol_F,True,True,7.6719283832401561e-17;2.0000010001894306e-06;2.0000100000559782e-05;1.0000250008338380e-04;4.0004000533407243e-04;2.0010006671671468e-03,1.5033090486604903e-16;2.6104938238942896e-07;2.6102236499488829e-06;1.3045115939824234e-05;5.2090519060135616e-05;2.5806602554321933e-04
48,5.0,Protocol_B,True,True,7.6719283832401561e-17;2.0000010001894306e-06;2.0000100000559782e-05;1.0000250008338380e-04;4.0004000533407243e-04;2.0010006671671468e-03,1.5033090486604903e-16;2.6104938238942896e-07;2.6102236499488829e-06;1.3045115939824234e-05;5.2090519060135616e-05;2.5806602554321933e-04
48,10.0,Protocol_F,True,True,6.8557657892784385e-17;2.0000010001829012e-06;2.0000100000556519e-05;1.0000250008338380e-04;4.0004000533407080e-04;2.0010006671671451e-03,1.5033090486604903e-16;2.6104938238942896e-07;2.6102236499488829e-06;1.3045115939824234e-05;5.2090519060135616e-05;2.5806602554321933e-04
48,10.0,Protocol_B,True,True,6.8557657892784385e-17;2.0000010001829012e-06;2.0000100000556519e-05;1.0000250008338380e-04;4.0004000533407080e-04;2.0010006671671451e-03,1.5033090486604903e-16;2.6104938238942896e-07;2.6102236499488829e-06;1.3045115939824234e-05;5.2090519060135616e-05;2.5806602554321933e-04
48,20.0,Protocol_F,True,True,6.6925332704860940e-17;2.0000010001820851e-06;2.0000100000549174e-05;1.0000250008337401e-04;4.0004000533406506e-04;2.0010006671671420e-03,1.5033090486604903e-16;2.6104938238942896e-07;2.6102236499488829e-06;1.3045115939824234e-05;5.2090519060135616e-05;2.5806602554321933e-04
48,20.0,Protocol_B,True,True,6.6925332704860940e-17;2.0000010001820851e-06;2.0000100000549174e-05;1.0000250008337401e-04;4.0004000533406506e-04;2.0010006671671420e-03,1.5033090486604903e-16;2.6104938238942896e-07;2.6102236499488829e-06;1.3045115939824234e-05;5.2090519060135616e-05;2.5806602554321933e-04
48,35.0,Protocol_F,True,True,2.1220227443004690e-17;2.0000010001824930e-06;2.0000100000545091e-05;1.0000250008337645e-04;4.0004000533407774e-04;2.0010006671671464e-03,1.7038685793554556e-16;2.6104938237518065e-07;2.6102236499485474e-06;1.3045115939866196e-05;5.2090519060117239e-05;2.5806602554323120e-04
48,35.0,Protocol_B,True,True,2.1220227443004690e-17;2.0000010001824930e-06;2.0000100000545091e-05;1.0000250008337645e-04;4.0004000533407774e-04;2.0010006671671464e-03,1.7038685793554556e-16;2.6104938237518065e-07;2.6102236499485474e-06;1.3045115939866196e-05;5.2090519060117239e-05;2.5806602554323120e-04
48,60.0,Protocol_F,True,True,5.3305619418124761e-17;2.0000010001760657e-06;2.0000100000540985e-05;1.0000250008336824e-04;4.0004000533405232e-04;2.0010006671671429e-03,2.3191544552338146e-16;2.6104938235619065e-07;2.6102236499440582e-06;1.3045115939823336e-05;5.2090519060144385e-05;2.5806602554321825e-04
