phase,case,step,particle,gauge,chi_read,delta_chi_read,R_read,C_memory,distance_AB_abs,reembedded,delta_chi_gauge_offset,phase_bias,gain
phase2_c_deformation_only,A_B_to_C_no_return,0,A,g0,-0.25,0.0,1.0,2.923326454903677e-07,0.5,False,0.0,0.0,1.0
phase2_c_deformation_only,A_B_to_C_no_return,0,A,g_chi_plus,-0.2495,0.0,1.0,2.923326454903677e-07,0.5,False,0.0005,0.0,1.0
phase2_c_deformation_only,A_B_to_C_no_return,0,A,g_chi_minus,-0.2505,0.0,1.0,2.923326454903677e-07,0.5,False,-0.0005,0.0,1.0
phase2_c_deformation_only,A_B_to_C_no_return,0,A,g_phase_plus,-0.25,1.097783008371748e-18,1.0,2.923326454903677e-07,0.5,False,0.0,0.11,1.0
phase2_c_deformation_only,A_B_to_C_no_return,0,A,g_phase_minus,-0.25,-1.2963414261969487e-18,1.0,2.923326454903677e-07,0.5,False,0.0,-0.13,1.0
phase2_c_deformation_only,A_B_to_C_no_return,0,A,g_gain_high,-0.25,0.0,1.2,2.923326454903677e-07,0.5,False,0.0,0.0,1.2
phase2_c_deformation_only,A_B_to_C_no_return,0,A,g_gain_low,-0.25,0.0,0.8,2.923326454903677e-07,0.5,False,0.0,0.0,0.8
phase2_c_deformation_only,A_B_to_C_no_return,0,B,g0,0.25,0.0,1.5625,2.923326454903677e-07,0.5,False,0.0,0.0,1.0
phase2_c_deformation_only,A_B_to_C_no_return,0,B,g_chi_plus,0.2505,0.0,1.5625,2.923326454903677e-07,0.5,False,0.0005,0.0,1.0
phase2_c_deformation_only,A_B_to_C_no_return,0,B,g_chi_minus,0.2495,0.0,1.5625,2.923326454903677e-07,0.5,False,-0.0005,0.0,1.0
phase2_c_deformation_only,A_B_to_C_no_return,0,B,g_phase_plus,0.25,1.097783008371748e-18,1.5625,2.923326454903677e-07,0.5,False,0.0,0.11,1.0
phase2_c_deformation_only,A_B_to_C_no_return,0,B,g_phase_minus,0.25,-1.2963414261969487e-18,1.5625,2.923326454903677e-07,0.5,False,0.0,-0.13,1.0
phase2_c_deformation_only,A_B_to_C_no_return,0,B,g_gain_high,0.25,0.0,1.875,2.923326454903677e-07,0.5,False,0.0,0.0,1.2
phase2_c_deformation_only,A_B_to_C_no_return,0,B,g_gain_low,0.25,0.0,1.25,2.923326454903677e-07,0.5,False,0.0,0.0,0.8
phase2_c_deformation_only,A_B_to_C_no_return,1,A,g0,-0.25,0.0,1.0,5.61278679341506e-07,0.5,False,0.0,0.0,1.0
phase2_c_deformation_only,A_B_to_C_no_return,1,A,g_chi_plus,-0.2495,0.0,1.0,5.61278679341506e-07,0.5,False,0.0005,0.0,1.0
phase2_c_deformation_only,A_B_to_C_no_return,1,A,g_chi_minus,-0.2505,0.0,1.0,5.61278679341506e-07,0.5,False,-0.0005,0.0,1.0
phase2_c_deformation_only,A_B_to_C_no_return,1,A,g_phase_plus,-0.25,1.097783008371748e-18,1.0,5.61278679341506e-07,0.5,False,0.0,0.11,1.0
phase2_c_deformation_only,A_B_to_C_no_return,1,A,g_phase_minus,-0.25,-1.2963414261969487e-18,1.0,5.61278679341506e-07,0.5,False,0.0,-0.13,1.0
phase2_c_deformation_only,A_B_to_C_no_return,1,A,g_gain_high,-0.25,0.0,1.2,5.61278679341506e-07,0.5,False,0.0,0.0,1.2
phase2_c_deformation_only,A_B_to_C_no_return,1,A,g_gain_low,-0.25,0.0,0.8,5.61278679341506e-07,0.5,False,0.0,0.0,0.8
phase2_c_deformation_only,A_B_to_C_no_return,1,B,g0,0.25,0.0,1.5625,5.61278679341506e-07,0.5,False,0.0,0.0,1.0
phase2_c_deformation_only,A_B_to_C_no_return,1,B,g_chi_plus,0.2505,0.0,1.5625,5.61278679341506e-07,0.5,False,0.0005,0.0,1.0
phase2_c_deformation_only,A_B_to_C_no_return,1,B,g_chi_minus,0.2495,0.0,1.5625,5.61278679341506e-07,0.5,False,-0.0005,0.0,1.0
phase2_c_deformation_only,A_B_to_C_no_return,1,B,g_phase_plus,0.25,1.097783008371748e-18,1.5625,5.61278679341506e-07,0.5,False,0.0,0.11,1.0
phase2_c_deformation_only,A_B_to_C_no_return,1,B,g_phase_minus,0.25,-1.2963414261969487e-18,1.5625,5.61278679341506e-07,0.5,False,0.0,-0.13,1.0
phase2_c_deformation_only,A_B_to_C_no_return,1,B,g_gain_high,0.25,0.0,1.875,5.61278679341506e-07,0.5,False,0.0,0.0,1.2
phase2_c_deformation_only,A_B_to_C_no_return,1,B,g_gain_low,0.25,0.0,1.25,5.61278679341506e-07,0.5,False,0.0,0.0,0.8
phase2_c_deformation_only,A_B_to_C_no_return,2,A,g0,-0.25,0.0,1.0,8.087090304845532e-07,0.5,False,0.0,0.0,1.0
phase2_c_deformation_only,A_B_to_C_no_return,2,A,g_chi_plus,-0.2495,0.0,1.0,8.087090304845532e-07,0.5,False,0.0005,0.0,1.0
phase2_c_deformation_only,A_B_to_C_no_return,2,A,g_chi_minus,-0.2505,0.0,1.0,8.087090304845532e-07,0.5,False,-0.0005,0.0,1.0
