kernel,kernel_kind,lag,injected_weight,expected_coefficient,recovered_coefficient,coefficient_error,recovered_abs_fraction,expected_dominant_lag,expected_lag0_abs_fraction,expected_delayed_abs_fraction
instant_control,control,0,1.0,0.0006097560975609756,0.0006097560975609759,3.2526065174565133e-19,0.9999999999999953,0,1.0,0.0
instant_control,control,1,0.0,0.0,-2.0026189053273404e-19,-2.0026189053273404e-19,3.284295004736821e-16,0,1.0,0.0
instant_control,control,2,0.0,0.0,1.7316858049574812e-19,1.7316858049574812e-19,2.8399647201302544e-16,0,1.0,0.0
instant_control,control,3,0.0,0.0,1.729103914118764e-19,1.729103914118764e-19,2.8357304191547585e-16,0,1.0,0.0
instant_control,control,4,0.0,0.0,-1.644804426225293e-19,-1.644804426225293e-19,2.6974792590094667e-16,0,1.0,0.0
instant_control,control,5,0.0,0.0,9.506478398674303e-19,9.506478398674303e-19,1.5590624573825775e-15,0,1.0,0.0
instant_control,control,6,0.0,0.0,5.488869885456708e-19,5.488869885456708e-19,9.001746612148954e-16,0,1.0,0.0
instant_control,control,7,0.0,0.0,-5.115655714363e-19,-5.115655714363e-19,8.389675371555277e-16,0,1.0,0.0
instant_control,control,8,0.0,0.0,-7.20116319687179e-20,-7.20116319687179e-20,1.1809907642869675e-16,0,1.0,0.0
lag1_dominant,one_step_delay,0,0.25,0.0001524390243902439,0.0001524390243902436,-2.981555974335137e-19,0.24999999999999867,1,0.25,0.75
lag1_dominant,one_step_delay,1,0.75,0.0004573170731707317,0.00045731707317073217,4.87890977618477e-19,0.7499999999999982,1,0.25,0.75
lag1_dominant,one_step_delay,2,0.0,0.0,-3.8081201676411554e-19,-3.8081201676411554e-19,6.245317074931474e-16,1,0.25,0.75
lag1_dominant,one_step_delay,3,0.0,0.0,-4.899953046586687e-19,-4.899953046586687e-19,8.03592299640214e-16,1,0.25,0.75
lag1_dominant,one_step_delay,4,0.0,0.0,1.167670014623235e-19,1.167670014623235e-19,1.9149788239820987e-16,1,0.25,0.75
lag1_dominant,one_step_delay,5,0.0,0.0,-3.142862139869346e-19,-3.142862139869346e-19,5.15429390938571e-16,1,0.25,0.75
lag1_dominant,one_step_delay,6,0.0,0.0,-1.2217581865332636e-19,-1.2217581865332636e-19,2.0036834259145456e-16,1,0.25,0.75
lag1_dominant,one_step_delay,7,0.0,0.0,-8.165340872126311e-20,-8.165340872126311e-20,1.3391159030287104e-16,1,0.25,0.75
lag1_dominant,one_step_delay,8,0.0,0.0,-4.876712652920518e-19,-4.876712652920518e-19,7.997808750789622e-16,1,0.25,0.75
lag2_dominant,two_step_delay,0,0.2,0.00012195121951219512,0.00012195121951219516,4.0657581468206416e-20,0.19999999999999943,2,0.2,0.8
lag2_dominant,two_step_delay,1,0.0,0.0,2.1334298522579745e-19,2.1334298522579745e-19,3.498824957703067e-16,2,0.2,0.8
lag2_dominant,two_step_delay,2,0.8,0.0004878048780487805,0.00048780487804878114,6.505213034913027e-19,0.7999999999999985,2,0.2,0.8
lag2_dominant,two_step_delay,3,0.0,0.0,5.257986483081369e-19,5.257986483081369e-19,8.623097832253418e-16,2,0.2,0.8
lag2_dominant,two_step_delay,4,0.0,0.0,-1.0990251800674623e-19,-1.0990251800674623e-19,1.8024012953106323e-16,2,0.2,0.8
lag2_dominant,two_step_delay,5,0.0,0.0,1.6482398340058125e-19,1.6482398340058125e-19,2.703113327769524e-16,2,0.2,0.8
lag2_dominant,two_step_delay,6,0.0,0.0,-2.0107239116201182e-19,-2.0107239116201182e-19,3.297587215056983e-16,2,0.2,0.8
lag2_dominant,two_step_delay,7,0.0,0.0,-5.717232881971704e-20,-5.717232881971704e-20,9.376261926433565e-17,2,0.2,0.8
lag2_dominant,two_step_delay,8,0.0,0.0,4.314212181449233e-20,4.314212181449233e-20,7.075307977576719e-17,2,0.2,0.8
exponential_tail,tail,0,0.25,0.0001524390243902439,0.00015243902439024377,-1.3552527156068805e-19,0.24999999999999964,1,0.25,0.75
exponential_tail,tail,1,0.34,0.00020731707317073173,0.00020731707317073197,2.439454888092385e-19,0.34000000000000025,1,0.25,0.75
exponential_tail,tail,2,0.22,0.00013414634146341464,0.00013414634146341454,-1.0842021724855044e-19,0.21999999999999972,1,0.25,0.75
exponential_tail,tail,3,0.12,7.317073170731707e-05,7.317073170731692e-05,-1.4907779871675686e-19,0.11999999999999969,1,0.25,0.75
exponential_tail,tail,4,0.07,4.26829268292683e-05,4.268292682926834e-05,4.0657581468206416e-20,0.07000000000000003,1,0.25,0.75
exponential_tail,tail,5,0.0,0.0,-1.433745481637956e-20,-1.433745481637956e-20,2.3513425898862466e-17,1,0.25,0.75
exponential_tail,tail,6,0.0,0.0,-1.0976697085332948e-19,-1.0976697085332948e-19,1.8001783219946025e-16,1,0.25,0.75
exponential_tail,tail,7,0.0,0.0,-1.610619508316521e-20,-1.610619508316521e-20,2.641415993639093e-17,1,0.25,0.75
exponential_tail,tail,8,0.0,0.0,-2.9730417700753874e-19,-2.9730417700753874e-19,4.875788502923633e-16,1,0.25,0.75
