label,mode,step,particle,actual_Ra,predicted_minus_partial_chi_E,partial_chi_E_read,g1_balance_error,C_memory,delta_C_memory_forward,sign_match,sweep_case,blind_window_length
base,combined_minus_R2_R3_residual,1,A,1.502986489806105e-10,1.5087273853441775e-10,-1.5087273853441775e-10,-5.740895538072488e-13,5.612790126948601e-07,2.474312911964451e-07,True,base,19
base,combined_minus_R2_R3_residual,2,A,1.3773116034659395e-10,1.3880347029255334e-10,-1.3880347029255334e-10,-1.0723099459593906e-12,8.087103038913052e-07,2.2763769127978746e-07,True,base,19
base,combined_minus_R2_R3_residual,3,A,1.2602972368915752e-10,1.2769989168522078e-10,-1.2769989168522078e-10,-1.6701679960632657e-12,1.0363479951710927e-06,2.094278223637621e-07,True,base,19
base,combined_minus_R2_R3_residual,4,A,1.1514198154493578e-10,1.1748473272290383e-10,-1.1748473272290383e-10,-2.3427511779680446e-12,1.2457758175348548e-06,1.9267496166556227e-07,True,base,19
base,combined_minus_R2_R3_residual,5,A,1.0501777303413272e-10,1.0808690649732256e-10,-1.0808690649732256e-10,-3.069133463189845e-12,1.438450779200417e-06,1.77262526655609e-07,True,base,19
base,combined_minus_R2_R3_residual,6,A,9.560918721573586e-11,9.944101438672597e-11,-9.944101438672597e-11,-3.831827170990113e-12,1.615713305856026e-06,1.630832635942306e-07,True,base,19
base,combined_minus_R2_R3_residual,7,A,8.687058637742834e-11,9.148689085956753e-11,-9.148689085956753e-11,-4.616304482139182e-12,1.7787965694502566e-06,1.5003850100969075e-07,True,base,19
base,combined_minus_R2_R3_residual,8,A,7.875860436269884e-11,8.416918470723734e-11,-8.416918470723734e-11,-5.410580344538506e-12,1.9288350704599474e-06,1.3803746291986925e-07,True,base,19
base,combined_minus_R2_R3_residual,9,A,7.1232124569796e-11,7.743697379017148e-11,-7.743697379017148e-11,-6.204849220375471e-12,2.0668725333798166e-06,1.2699663701588122e-07,True,base,19
base,combined_minus_R2_R3_residual,10,A,6.42522416658393e-11,7.124341061508721e-11,-7.124341061508721e-11,-6.99116894924791e-12,2.193869170395698e-06,1.1683919340874302e-07,True,base,19
base,combined_minus_R2_R3_residual,11,A,5.778221013337905e-11,6.554539627575188e-11,-6.554539627575188e-11,-7.763186142372826e-12,2.310708363804441e-06,1.0749444989223307e-07,True,base,19
base,combined_minus_R2_R3_residual,12,A,5.178738267754869e-11,6.030328048725808e-11,-6.030328048725808e-11,-8.515897809709385e-12,2.418202813696674e-06,9.889737999910325e-08,True,base,19
base,combined_minus_R2_R3_residual,13,A,4.62351407651279e-11,5.5480585625415474e-11,-5.5480585625415474e-11,-9.245444860287574e-12,2.517100193695777e-06,9.098816042568138e-08,True,base,19
base,combined_minus_R2_R3_residual,14,A,4.1094819624857334e-11,5.104375285010046e-11,-5.104375285010046e-11,-9.948933225243129e-12,2.6080883541214586e-06,8.371175467416476e-08,True,base,19
base,combined_minus_R2_R3_residual,15,A,3.633762902529409e-11,4.69619085451051e-11,-4.69619085451051e-11,-1.0624279519811005e-11,2.6918001087956233e-06,7.701753001397236e-08,True,base,19
base,combined_minus_R2_R3_residual,16,A,3.193657163438814e-11,4.320664944854297e-11,-4.320664944854297e-11,-1.1270077814154828e-11,2.7688176388095957e-06,7.085890509561047e-08,True,base,19
