phase,case,step,particle,gauge,chi_read,delta_chi_read,R_read,C_memory,distance_AB_abs,reembedded,delta_chi_gauge_offset,phase_bias,gain
R1,C_reference_plus,0,A,g0,-0.25,2e-08,1.0,2e-08,0.5,False,0.0,0.0,1.0
R1,C_reference_plus,0,A,g_chi_plus,-0.2495,2e-08,1.0,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,0,A,g_chi_minus,-0.2505,2e-08,1.0,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,0,A,g_phase_plus,-0.25,2.0000000001097785e-08,1.0,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,0,A,g_phase_minus,-0.25,1.999999999870366e-08,1.0,2e-08,0.5,False,0.0,-0.13,1.0
R1,C_reference_plus,0,A,g_gain_high,-0.25,2e-08,1.2,2e-08,0.5,False,0.0,0.0,1.2
R1,C_reference_plus,0,A,g_gain_low,-0.25,2e-08,0.8,2e-08,0.5,False,0.0,0.0,0.8
R1,C_reference_plus,0,B,g0,0.25,2e-08,1.5625,2e-08,0.5,False,0.0,0.0,1.0
R1,C_reference_plus,0,B,g_chi_plus,0.2505,2e-08,1.5625,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,0,B,g_chi_minus,0.2495,2e-08,1.5625,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,0,B,g_phase_plus,0.25,2.0000000001097785e-08,1.5625,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,0,B,g_phase_minus,0.25,1.999999999870366e-08,1.5625,2e-08,0.5,False,0.0,-0.13,1.0
R1,C_reference_plus,0,B,g_gain_high,0.25,2e-08,1.875,2e-08,0.5,False,0.0,0.0,1.2
R1,C_reference_plus,0,B,g_gain_low,0.25,2e-08,1.25,2e-08,0.5,False,0.0,0.0,0.8
R1,C_reference_plus,1,A,g0,-0.25,2e-08,1.0,2e-08,0.5,False,0.0,0.0,1.0
R1,C_reference_plus,1,A,g_chi_plus,-0.2495,2e-08,1.0,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,1,A,g_chi_minus,-0.2505,2e-08,1.0,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,1,A,g_phase_plus,-0.25,2.0000000001097785e-08,1.0,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,1,A,g_phase_minus,-0.25,1.999999999870366e-08,1.0,2e-08,0.5,False,0.0,-0.13,1.0
R1,C_reference_plus,1,A,g_gain_high,-0.25,2e-08,1.2,2e-08,0.5,False,0.0,0.0,1.2
R1,C_reference_plus,1,A,g_gain_low,-0.25,2e-08,0.8,2e-08,0.5,False,0.0,0.0,0.8
R1,C_reference_plus,1,B,g0,0.25,2e-08,1.5625,2e-08,0.5,False,0.0,0.0,1.0
R1,C_reference_plus,1,B,g_chi_plus,0.2505,2e-08,1.5625,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,1,B,g_chi_minus,0.2495,2e-08,1.5625,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,1,B,g_phase_plus,0.25,2.0000000001097785e-08,1.5625,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,1,B,g_phase_minus,0.25,1.999999999870366e-08,1.5625,2e-08,0.5,False,0.0,-0.13,1.0
R1,C_reference_plus,1,B,g_gain_high,0.25,2e-08,1.875,2e-08,0.5,False,0.0,0.0,1.2
R1,C_reference_plus,1,B,g_gain_low,0.25,2e-08,1.25,2e-08,0.5,False,0.0,0.0,0.8
R1,C_reference_plus,2,A,g0,-0.25,2e-08,1.0,2e-08,0.5,False,0.0,0.0,1.0
R1,C_reference_plus,2,A,g_chi_plus,-0.2495,2e-08,1.0,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,2,A,g_chi_minus,-0.2505,2e-08,1.0,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,2,A,g_phase_plus,-0.25,2.0000000001097785e-08,1.0,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,2,A,g_phase_minus,-0.25,1.999999999870366e-08,1.0,2e-08,0.5,False,0.0,-0.13,1.0
R1,C_reference_plus,2,A,g_gain_high,-0.25,2e-08,1.2,2e-08,0.5,False,0.0,0.0,1.2
R1,C_reference_plus,2,A,g_gain_low,-0.25,2e-08,0.8,2e-08,0.5,False,0.0,0.0,0.8
R1,C_reference_plus,2,B,g0,0.25,2e-08,1.5625,2e-08,0.5,False,0.0,0.0,1.0
R1,C_reference_plus,2,B,g_chi_plus,0.2505,2e-08,1.5625,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,2,B,g_chi_minus,0.2495,2e-08,1.5625,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,2,B,g_phase_plus,0.25,2.0000000001097785e-08,1.5625,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,2,B,g_phase_minus,0.25,1.999999999870366e-08,1.5625,2e-08,0.5,False,0.0,-0.13,1.0
R1,C_reference_plus,2,B,g_gain_high,0.25,2e-08,1.875,2e-08,0.5,False,0.0,0.0,1.2
R1,C_reference_plus,2,B,g_gain_low,0.25,2e-08,1.25,2e-08,0.5,False,0.0,0.0,0.8
R1,C_reference_plus,3,A,g0,-0.25,2e-08,1.0,2e-08,0.5,False,0.0,0.0,1.0
R1,C_reference_plus,3,A,g_chi_plus,-0.2495,2e-08,1.0,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,3,A,g_chi_minus,-0.2505,2e-08,1.0,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,3,A,g_phase_plus,-0.25,2.0000000001097785e-08,1.0,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,3,A,g_phase_minus,-0.25,1.999999999870366e-08,1.0,2e-08,0.5,False,0.0,-0.13,1.0
R1,C_reference_plus,3,A,g_gain_high,-0.25,2e-08,1.2,2e-08,0.5,False,0.0,0.0,1.2
R1,C_reference_plus,3,A,g_gain_low,-0.25,2e-08,0.8,2e-08,0.5,False,0.0,0.0,0.8
R1,C_reference_plus,3,B,g0,0.25,2e-08,1.5625,2e-08,0.5,False,0.0,0.0,1.0
R1,C_reference_plus,3,B,g_chi_plus,0.2505,2e-08,1.5625,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,3,B,g_chi_minus,0.2495,2e-08,1.5625,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,3,B,g_phase_plus,0.25,2.0000000001097785e-08,1.5625,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,3,B,g_phase_minus,0.25,1.999999999870366e-08,1.5625,2e-08,0.5,False,0.0,-0.13,1.0
