protocol,step,particle,C_memory,delta_C_memory_forward,actual_Ra,predicted_Ra_from_delta_C,balance_error
ramp_duration_1,1,A,0.0,0.0,0.0,0.0,0.0
ramp_duration_1,1,B,0.0,0.0,0.0,-0.0,0.0
ramp_duration_1,2,A,0.0,0.0,0.0,0.0,0.0
ramp_duration_1,2,B,0.0,0.0,0.0,-0.0,0.0
ramp_duration_1,3,A,0.0,0.0,0.0,0.0,0.0
ramp_duration_1,3,B,0.0,0.0,0.0,-0.0,0.0
ramp_duration_1,4,A,0.0,3.8e-06,2.3170731707317074e-09,2.3170731707317074e-09,0.0
ramp_duration_1,4,B,0.0,3.8e-06,-2.3170731707317074e-09,-2.3170731707317074e-09,0.0
ramp_duration_1,5,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,5,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,6,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,6,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,7,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,7,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,8,A,3.8e-06,0.0,-8.271806125530277e-25,0.0,-8.271806125530277e-25
ramp_duration_1,8,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,9,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,9,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,10,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,10,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,11,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,11,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,12,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,12,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,13,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,13,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,14,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,14,B,3.8e-06,0.0,2.5849394142282115e-24,-0.0,2.5849394142282115e-24
ramp_duration_1,15,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,15,B,3.8e-06,0.0,-5.169878828456423e-24,-0.0,-5.169878828456423e-24
ramp_duration_1,16,A,3.8e-06,0.0,3.308722450212111e-24,0.0,3.308722450212111e-24
ramp_duration_1,16,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,17,A,3.8e-06,0.0,-3.308722450212111e-24,0.0,-3.308722450212111e-24
ramp_duration_1,17,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,18,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,18,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,19,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,19,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,20,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,20,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,21,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,21,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,22,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,22,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,23,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,23,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,24,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,24,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,25,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,25,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,26,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,26,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,27,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,27,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,28,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,28,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,29,A,3.8e-06,0.0,6.617444900424222e-24,0.0,6.617444900424222e-24
ramp_duration_1,29,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,30,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,30,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,31,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,31,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,32,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,32,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,33,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,33,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,34,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,34,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,35,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,35,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,36,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,36,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,37,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,37,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,38,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,38,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,39,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,39,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,40,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,40,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,41,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,41,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,42,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,42,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,43,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,43,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_1,44,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,44,B,3.8e-06,0.0,1.0339757656912846e-23,-0.0,1.0339757656912846e-23
ramp_duration_1,45,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,45,B,3.8e-06,0.0,-1.0339757656912846e-23,-0.0,-1.0339757656912846e-23
ramp_duration_1,46,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_1,46,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,1,A,0.0,0.0,0.0,0.0,0.0
ramp_duration_2,1,B,0.0,0.0,0.0,-0.0,0.0
ramp_duration_2,2,A,0.0,0.0,0.0,0.0,0.0
ramp_duration_2,2,B,0.0,0.0,0.0,-0.0,0.0
ramp_duration_2,3,A,0.0,0.0,0.0,0.0,0.0
ramp_duration_2,3,B,0.0,0.0,0.0,-0.0,0.0
ramp_duration_2,4,A,0.0,1.9e-06,1.1585365853658537e-09,1.1585365853658537e-09,0.0
ramp_duration_2,4,B,0.0,1.9e-06,-1.1585365853658537e-09,-1.1585365853658537e-09,0.0
ramp_duration_2,5,A,1.9e-06,1.9e-06,1.1585365853658537e-09,1.1585365853658537e-09,0.0
ramp_duration_2,5,B,1.9e-06,1.9e-06,-1.1585365853658537e-09,-1.1585365853658537e-09,0.0
ramp_duration_2,6,A,3.8e-06,0.0,-4.1359030627651384e-25,0.0,-4.1359030627651384e-25
ramp_duration_2,6,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,7,A,3.8e-06,0.0,1.2407709188295415e-24,0.0,1.2407709188295415e-24
ramp_duration_2,7,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,8,A,3.8e-06,0.0,-1.6543612251060553e-24,0.0,-1.6543612251060553e-24
ramp_duration_2,8,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,9,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,9,B,3.8e-06,0.0,1.2924697071141057e-24,-0.0,1.2924697071141057e-24
ramp_duration_2,10,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,10,B,3.8e-06,0.0,-1.2924697071141057e-24,-0.0,-1.2924697071141057e-24
ramp_duration_2,11,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,11,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,12,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,12,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,13,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,13,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,14,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,14,B,3.8e-06,0.0,2.5849394142282115e-24,-0.0,2.5849394142282115e-24
ramp_duration_2,15,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,15,B,3.8e-06,0.0,-5.169878828456423e-24,-0.0,-5.169878828456423e-24
ramp_duration_2,16,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,16,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,17,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,17,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,18,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,18,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,19,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,19,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,20,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,20,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,21,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,21,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,22,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,22,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,23,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,23,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,24,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,24,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,25,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,25,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,26,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,26,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,27,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,27,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,28,A,3.8e-06,0.0,0.0,0.0,0.0
