config_id,R_C_over_R_A,coupling_C,C_position_mode,C_pair_group,C_offset,C_phase_sign,C_cell_count,C_cell_width,resolved_case_count,fit_case_count,resolution_valid,clock_error,clock_valid,max_relative_contamination,common_mode_ratio,disturbance_valid,closure_valid,gauge_valid,fit_valid,power_candidate_alpha_tau_ABC,power_candidate_alpha_tau_AB,power_candidate_alpha_tau_AC,power_candidate_alpha_tau_BC,alpha_classification_tau_ABC,alpha_classification_tau_AB,alpha_classification_tau_AC,alpha_classification_tau_BC,tau_AB_alpha_delta_from_tau_ABC,tau_AC_alpha_delta_from_tau_ABC,tau_BC_alpha_delta_from_tau_ABC,log_rmse_tau_ABC,inverse_term_injected,inverse_square_term_injected
Rc0.5_eps0.01_symmetric,0.5,0.01,symmetric,symmetric,0.0,1.0,48,0.1308996938995747,3,3,False,0.12525,True,0.0,0.005,True,True,False,True,-1.0000000000000002,-1.8481687612606905,-1.0000000000000002,-1.0000000000000002,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606903,0.0,0.0,7.778579503107599e-17,False,False
Rc0.5_eps0.01_symmetric_pi_flip,0.5,0.01,symmetric_pi_flip,symmetric,0.0,-1.0,48,0.1308996938995747,3,3,False,0.12525,True,0.0,0.005,True,True,False,True,-1.0000000000000002,-1.8481687612606905,-1.0000000000000002,-1.0000000000000002,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606903,0.0,0.0,7.778579503107599e-17,False,False
Rc0.5_eps0.01_a_side_small,0.5,0.01,a_side_small,small,0.03,1.0,48,0.1308996938995747,3,3,False,0.12525,True,0.0008594366926962347,0.005,True,True,False,True,-0.99951185105501,-1.8476806123157001,-0.9995118510550102,-0.99951185105501,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606902,-2.220446049250313e-16,0.0,2.6793005162367227e-05,False,False
Rc0.5_eps0.01_b_side_small,0.5,0.01,b_side_small,small,-0.03,1.0,48,0.1308996938995747,3,3,False,0.12525,True,0.0008594366926962347,0.005,True,True,False,True,-1.0004886634629515,-1.8486574247236418,-1.0004886634629513,-1.0004886634629515,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606903,2.220446049250313e-16,0.0,2.684593027622792e-05,False,False
Rc0.5_eps0.01_a_side_large,0.5,0.01,a_side_large,large,0.12,1.0,48,0.1308996938995747,3,3,False,0.12525,True,0.003437746770784941,0.005,True,True,False,True,-0.9980504826633363,-1.8462192439240266,-0.9980504826633361,-0.9980504826633363,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606903,2.220446049250313e-16,0.0,0.00010685568791492123,False,False
Rc0.5_eps0.01_b_side_large,0.5,0.01,b_side_large,large,-0.12,1.0,48,0.1308996938995747,3,3,False,0.12525,True,0.003437746770784941,0.005,True,True,False,True,-1.001957749665303,-1.850126510925993,-1.0019577496653027,-1.0019577496653027,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606901,2.220446049250313e-16,2.220446049250313e-16,0.00010770249666983202,False,False
Rc0.5_eps0.01_a_side_large_pi_flip,0.5,0.01,a_side_large_pi_flip,large_pi,0.12,-1.0,48,0.1308996938995747,3,3,False,0.12525,True,0.003437746770784941,0.005,True,True,False,True,-1.001957749665303,-1.850126510925993,-1.0019577496653027,-1.0019577496653027,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606901,2.220446049250313e-16,2.220446049250313e-16,0.00010770249666983202,False,False
Rc0.5_eps0.01_b_side_large_pi_flip,0.5,0.01,b_side_large_pi_flip,large_pi,-0.12,-1.0,48,0.1308996938995747,3,3,False,0.12525,True,0.003437746770784941,0.005,True,True,False,True,-0.9980504826633363,-1.8462192439240266,-0.9980504826633363,-0.9980504826633361,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606903,0.0,2.220446049250313e-16,0.00010685568791492123,False,False
Rc0.5_eps0.02_symmetric,0.5,0.02,symmetric,symmetric,0.0,1.0,48,0.1308996938995747,3,3,False,0.1255,True,0.0,0.01,True,True,False,True,-1.0000000000000009,-1.8481687612606905,-1.0000000000000009,-1.0000000000000009,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606896,0.0,0.0,4.666459889952806e-16,False,False
Rc0.5_eps0.02_symmetric_pi_flip,0.5,0.02,symmetric_pi_flip,symmetric,0.0,-1.0,48,0.1308996938995747,3,3,False,0.1255,True,0.0,0.01,True,True,False,True,-1.0000000000000009,-1.8481687612606905,-1.0000000000000009,-1.0000000000000009,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606896,0.0,0.0,4.666459889952806e-16,False,False
