config_id,R_C_over_R_A,coupling_C,C_offset_rad,C_cell_count,C_cell_width,resolved_case_count,fit_case_count,resolution_valid,clock_error,clock_valid,max_relative_contamination,common_mode_ratio,disturbance_valid,closure_valid,gauge_valid,fit_valid,loglog_slope,power_candidate_alpha,power_candidate_alpha_tau_ABC,power_candidate_alpha_tau_AB,power_candidate_alpha_tau_AC,power_candidate_alpha_tau_BC,log_rmse,alpha_classification,alpha_classification_tau_ABC,alpha_classification_tau_AB,alpha_classification_tau_AC,alpha_classification_tau_BC,tau_AB_alpha_delta_from_tau_ABC,tau_AC_alpha_delta_from_tau_ABC,tau_BC_alpha_delta_from_tau_ABC,inverse_term_injected,inverse_square_term_injected,constructed_reciprocal_used_for_success
Rc0.03125_eps0.01_off0,0.03125,0.01,0.0,3,2.0943951023931953,0,0,False,2.000015625,False,,0.0003125,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.03125_eps0.01_off0.01,0.03125,0.01,0.01,3,2.0943951023931953,0,0,False,2.000015625,False,,0.0003125,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.03125_eps0.01_off0.03,0.03125,0.01,0.03,3,2.0943951023931953,0,0,False,2.000015625,False,,0.0003125,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.03125_eps0.01_off0.08,0.03125,0.01,0.08,3,2.0943951023931953,0,0,False,2.000015625,False,,0.0003125,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.03125_eps0.02_off0,0.03125,0.02,0.0,3,2.0943951023931953,0,0,False,2.00003125,False,,0.000625,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.03125_eps0.02_off0.01,0.03125,0.02,0.01,3,2.0943951023931953,0,0,False,2.00003125,False,,0.000625,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.03125_eps0.02_off0.03,0.03125,0.02,0.03,3,2.0943951023931953,0,0,False,2.00003125,False,,0.000625,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.03125_eps0.02_off0.08,0.03125,0.02,0.08,3,2.0943951023931953,0,0,False,2.00003125,False,,0.000625,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.03125_eps0.05_off0,0.03125,0.05,0.0,3,2.0943951023931953,0,0,False,2.000078125,False,,0.0015625,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.03125_eps0.05_off0.01,0.03125,0.05,0.01,3,2.0943951023931953,0,0,False,2.000078125,False,,0.0015625,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
