stage,model,delta_f,T,R,channel,N_A,N_B,hair_enabled,norm,p_chi,p_target,p_abs_error,d_q,L,chi_peak,chi_peak_abs_error,chi_peak_contrast,chi_center_cell_mass,chi_effective_cell_count,N_eff,N_eff_2,P_m_A,P_m_B,name_hair_total,name_readout_l1_error,name_readout_ok,expected_origin_A,expected_origin_B,readout_enabled,control_family,compressed_q_A,compressed_q_B,compressed_q_channel,acceleration_base_ok,collision_index
stage0_full_reflection_base,fermionic_scattering_complete_reflection,3.141592653589793,3.749399456654644e-33,1.0,minus_out,63,63,True,1.0,-1.0000000000000029,-1.0,2.886579864025407e-15,2.886579864022512e-15,0.0052089691162109375,-3.141592653589793,3.141592653589793,64.00000000000014,0.4515200651342749,18.229245755630583,31.99999999999996,36.959437225152634,1.0,3.640776751941969e-33,1.0,1.086227047126752e-34,True,1.0,3.749399456654644e-33,True,scattering_matrix,-1.0,1.0,-1.0,True,
stage0_full_reflection_base,fermionic_scattering_complete_reflection,3.141592653589793,3.749399456654644e-33,1.0,plus_out,63,63,True,0.9999999999999999,0.9999999999999866,1.0,1.3433698597964394e-14,1.3433698597951141e-14,0.005208969116210969,-3.141592653589793,3.141592653589793,64.00000000000033,0.4515200651342763,18.229245755630696,31.999999999999968,36.95943722515264,1.0000139600250074e-32,1.0,1.0,6.25074014359543e-33,True,3.749399456654644e-33,1.0,True,scattering_matrix,-1.0,1.0,1.0,True,
stage0_full_reflection_base,bosonic_scattering_transmission,0.0,1.0,0.0,minus_out,63,63,True,0.9999999999999999,-0.9999999999999889,nan,nan,1.999999999998011,0.005208969116210969,-3.141592653589793,3.141592653589793,64.00000000000033,0.4515200651342762,18.229245755630696,31.99999999999997,36.95943722515264,9.755936465671061e-33,1.0,1.0,9.755936465671061e-33,True,0.0,1.0,True,scattering_matrix,1.0,-1.0,1.0,True,
stage0_full_reflection_base,bosonic_scattering_transmission,0.0,1.0,0.0,plus_out,63,63,True,1.0000000000000002,1.0000000000000002,nan,nan,1.9999999999979994,0.005208969116210934,0.0,0.0,64.00000000000013,0.4515200651342748,18.229245755630583,31.99999999999996,36.959437225152634,1.0,2.643824332254662e-33,1.0,2.643824332254662e-33,True,1.0,0.0,True,scattering_matrix,1.0,-1.0,-1.0,True,
stage0_full_reflection_base,partial_scattering_half,1.5707963267948966,0.5000000000000001,0.4999999999999999,minus_out,63,63,True,1.0000000000000009,-1.0000000000000036,nan,nan,0.9999999999990001,0.007813453674316413,-3.141592653589793,3.141592653589793,64.00000000000017,0.4515200651342751,18.229245755630608,31.999999999999975,36.95943722515264,0.4999999999999992,0.5000000000000008,1.0,1.3322676295501878e-15,True,0.4999999999999999,0.5000000000000001,True,scattering_matrix,2.220446049250313e-16,-2.220446049250313e-16,2.220446049250313e-16,True,
stage0_full_reflection_base,partial_scattering_half,1.5707963267948966,0.5000000000000001,0.4999999999999999,plus_out,63,63,True,1.0000000000000007,0.9999999999999991,nan,nan,0.9999999999990001,0.007813453674316417,0.0,0.0,64.00000000000018,0.45152006513427523,18.229245755630615,31.999999999999975,36.95943722515264,0.4999999999999994,0.5000000000000006,1.0,1.3877787807814457e-15,True,0.5000000000000001,0.4999999999999999,True,scattering_matrix,2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,True,
stage0_full_reflection_base,partial_scattering_R055,1.6709637479564565,0.44999999999999973,0.55,minus_out,63,63,True,1.0000000000000009,-1.0000000000000044,nan,nan,0.8999999999991001,0.007787408828735354,-3.141592653589793,3.141592653589793,64.00000000000014,0.451520065134275,18.2292457556306,31.999999999999968,36.95943722515264,0.5499999999999995,0.4500000000000006,1.0,1.4432899320127035e-15,True,0.55,0.44999999999999973,True,scattering_matrix,-0.10000000000000031,0.10000000000000031,-0.10000000000000031,True,
stage0_full_reflection_base,partial_scattering_R055,1.6709637479564565,0.44999999999999973,0.55,plus_out,63,63,True,1.0000000000000009,1.0000000000000013,nan,nan,0.8999999999990997,0.007787408828735357,-3.141592653589793,3.141592653589793,64.00000000000017,0.4515200651342751,18.229245755630608,31.999999999999975,36.95943722515264,0.449999999999999,0.550000000000001,1.0,1.7208456881689926e-15,True,0.44999999999999973,0.55,True,scattering_matrix,-0.10000000000000031,0.10000000000000031,0.10000000000000031,True,
stage1_odd_harmonic_bottom,fermionic_scattering_complete_reflection,3.141592653589793,3.749399456654644e-33,1.0,minus_out,99,99,True,1.0000000000000013,-1.0000000000000047,-1.0,4.6629367034256575e-15,4.6629367034209724e-15,0.008138427734375009,-3.141592653589793,3.141592653589793,100.00000000000081,0.4513703954423342,11.926715195915845,32.492307692307826,37.52332607858755,1.0,4.499903105981641e-33,1.0,7.505036493269971e-34,True,1.0,3.749399456654644e-33,True,scattering_matrix,-1.0,1.0,-1.0,True,
stage1_odd_harmonic_bottom,fermionic_scattering_complete_reflection,3.141592653589793,3.749399456654644e-33,1.0,plus_out,99,99,True,1.0000000000000027,1.0000000000000058,1.0,5.773159728050814e-15,5.773159728045007e-15,0.008138427734375,-3.141592653589793,3.141592653589793,100.00000000000075,0.451370395442334,11.926715195915829,32.492307692307826,37.523326078587544,1.0903469370846934e-32,1.0,1.0,7.15406991419229e-33,True,3.749399456654644e-33,1.0,True,scattering_matrix,-1.0,1.0,1.0,True,
