case,R_input_text,R,center_R,baseline_R,delta_R,abs_delta_R,log10_abs_delta_R,fixed_step,baseline_condition,center_condition_at_baseline_step,fixed_step_condition,fixed_step_error,fixed_step_depth_log10,baseline_fixed_step_error,center_fixed_step_error,normalized_inverse_depth,center_global_min_prefix_error,center_global_best_step,center_global_best_condition,global_min_prefix_error,global_best_step,global_best_condition,tail_best_gray_error,tail_best_condition
delta_m1em05,0.69716687923100307,0.6971668792310031,0.697176879231003,0.697176879231003,-9.999999999999997e-06,9.999999999999997e-06,-5.0,247,phi0_s0.01_g0,phi0_s0.01_g0,phi1_s0.01_g0,3.773749514320158e-07,6.423226929862344,3.4731386451944804e-08,3.4731386451944804e-08,0.09203415944844891,3.4731386451944804e-08,247,phi0_s0.01_g0,3.170388714919725e-08,3913,phi0_s0.01_g0,4.9263467372352306e-06,phi0_s0.01_g0
delta_m1em06,0.69717587923100299,0.697175879231003,0.697176879231003,0.697176879231003,-1e-06,1e-06,-6.0,247,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,6.807204641266604e-08,7.167031193241891,3.4731386451944804e-08,3.4731386451944804e-08,0.5102151071145468,3.4731386451944804e-08,247,phi0_s0.01_g0,6.807204641266604e-08,247,phi0_s0.01_g0,4.178421472613605e-06,phi0_s0.01_g0
delta_m1em07,0.69717677923100307,0.6971767792310031,0.697176879231003,0.697176879231003,-1e-07,1e-07,-7.0,247,phi0_s0.01_g0,phi0_s0.01_g0,phi1_s0.01_g0,3.805621181663717e-08,7.419574444346702,3.4731386451944804e-08,3.4731386451944804e-08,0.9126338327968093,3.4731386451944804e-08,247,phi0_s0.01_g0,3.805621181663717e-08,247,phi1_s0.01_g0,3.3913876994448276e-06,phi0_s0.01_g0
delta_m1em08,0.69717686923100297,0.697176869231003,0.697176879231003,0.697176879231003,-1e-08,1e-08,-8.0,247,phi0_s0.01_g0,phi0_s0.01_g0,phi1_s0.01_g0,3.506377669555022e-08,7.455141308159457,3.4731386451944804e-08,3.4731386451944804e-08,0.9905204095242941,3.4731386451944804e-08,247,phi0_s0.01_g0,3.506377669555022e-08,247,phi1_s0.01_g0,3.3320165408541204e-06,phi0_s0.01_g0
delta_m1em09,0.69717687823100305,0.697176878231003,0.697176879231003,0.697176879231003,-9.999999999999996e-10,9.999999999999996e-10,-9.0,247,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,3.476462455094789e-08,7.458862456522348,3.4731386451944804e-08,3.4731386451944804e-08,0.999043910313072,3.4731386451944804e-08,247,phi0_s0.01_g0,3.476462455094789e-08,247,phi0_s0.01_g0,3.3262727505390597e-06,phi0_s0.01_g0
center,0.69717687923100305,0.697176879231003,0.697176879231003,0.697176879231003,0.0,0.0,,247,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,3.4731386451944804e-08,7.459277879620116,3.4731386451944804e-08,3.4731386451944804e-08,1.0,3.4731386451944804e-08,247,phi0_s0.01_g0,3.4731386451944804e-08,247,phi0_s0.01_g0,3.3256367222394045e-06,phi0_s0.01_g0
delta_p1em08,0.69717688923100307,0.6971768892310031,0.697176879231003,0.697176879231003,9.999999999999999e-09,9.999999999999999e-09,-8.0,247,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,3.439901677870435e-08,7.463453970617007,3.4731386451944804e-08,3.4731386451944804e-08,1.0096621852705459,3.4731386451944804e-08,247,phi0_s0.01_g0,3.439901677870435e-08,247,phi0_s0.01_g0,3.3193002977676594e-06,phi1_s0.01_g0
delta_p1em07,0.69717697923100297,0.697176979231003,0.697176879231003,0.697176879231003,1e-07,1e-07,-7.0,247,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,3.140861439461137e-08,7.502951222278593,3.4731386451944804e-08,3.4731386451944804e-08,1.1057917428507609,3.4731386451944804e-08,247,phi0_s0.01_g0,3.140861439461137e-08,247,phi0_s0.01_g0,3.2642252832174778e-06,phi1_s0.01_g0
delta_p1em06,0.69717787923100305,0.697177879231003,0.697176879231003,0.697176879231003,1e-06,1e-06,-6.0,247,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,1.5960828965752349e-09,8.796944556224474,3.4731386451944804e-08,3.4731386451944804e-08,21.76039009406656,3.4731386451944804e-08,247,phi0_s0.01_g0,1.5960828965752349e-09,247,phi0_s0.01_g0,2.9068049583210503e-06,phi1_s0.01_g0
delta_p1em05,0.69718687923100298,0.697186879231003,0.697176879231003,0.697176879231003,1e-05,1e-05,-5.0,247,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,3.02911612725319e-07,6.51868407679639,3.4731386451944804e-08,3.4731386451944804e-08,0.11465848449804832,3.4731386451944804e-08,247,phi0_s0.01_g0,8.993084651290751e-08,4021,phi1_s0.01_g0,1.301535663054068e-06,phi1_s0.01_g0
delta_p1em04,0.69727687923100301,0.697276879231003,0.697176879231003,0.697176879231003,9.999999999999998e-05,9.999999999999998e-05,-4.0,247,phi0_s0.01_g0,phi0_s0.01_g0,phi1_s0.01_g0,3.3844302777070944e-06,5.470514428329603,3.4731386451944804e-08,3.4731386451944804e-08,0.010262107238762457,3.4731386451944804e-08,247,phi0_s0.01_g0,2.460897068254e-08,2803,phi1_s0.01_g0,1.1727600134652581e-05,phi1_s0.01_g0
