case,R_input_text,R,center_R,baseline_R,delta_R,abs_delta_R,log10_abs_delta_R,fixed_step,baseline_condition,center_condition_at_baseline_step,fixed_step_condition,fixed_step_error,fixed_step_depth_log10,baseline_fixed_step_error,center_fixed_step_error,normalized_inverse_depth,center_global_min_prefix_error,center_global_best_step,center_global_best_condition,global_min_prefix_error,global_best_step,global_best_condition,tail_best_gray_error,tail_best_condition
delta_m1em04,0.69179039089357552,0.6917903908935755,0.6918903908935755,0.6918903908935755,-9.999999999999998e-05,9.999999999999998e-05,-4.0,3971,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,3.969786005842208e-06,5.401232903561002,6.795115884106914e-08,6.795115884106914e-08,0.017117083576058654,6.795115884106914e-08,3971,phi0_s0.01_g0,1.528041279710919e-08,4045,phi0_s0.01_g0,2.663134303937991e-05,phi0_s0.01_g0
delta_m1em05,0.69188039089357556,0.6918803908935756,0.6918903908935755,0.6918903908935755,-1e-05,1e-05,-5.0,3971,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,3.153372677161488e-07,6.501224699702372,6.795115884106914e-08,6.795115884106914e-08,0.21548724428675983,6.795115884106914e-08,3971,phi0_s0.01_g0,1.838382226844078e-08,4035,phi0_s0.01_g0,2.68765018165524e-05,phi0_s0.01_g0
delta_m1em06,0.69188939089357548,0.6918893908935755,0.6918903908935755,0.6918903908935755,-1e-06,1e-06,-6.0,3971,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,2.9800318680699075e-07,6.525779091610689,6.795115884106914e-08,6.795115884106914e-08,0.22802158449761617,6.795115884106914e-08,3971,phi0_s0.01_g0,2.9800318680699075e-07,3971,phi0_s0.01_g0,2.6805964541414538e-05,phi0_s0.01_g0
delta_m1em07,0.69189029089357557,0.6918902908935756,0.6918903908935755,0.6918903908935755,-1e-07,1e-07,-7.0,3971,phi0_s0.01_g0,phi0_s0.01_g0,phi1_s0.01_g0,9.362113806321739e-08,7.028626083871135,6.795115884106914e-08,6.795115884106914e-08,0.7258100066588095,6.795115884106914e-08,3971,phi0_s0.01_g0,9.362113806321739e-08,3971,phi1_s0.01_g0,2.6611385749284254e-05,phi1_s0.01_g0
delta_m1em08,0.69189038089357546,0.6918903808935755,0.6918903908935755,0.6918903908935755,-9.999999999999999e-09,9.999999999999999e-09,-8.0,3971,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,7.018646129984534e-08,7.153746653537241,6.795115884106914e-08,6.795115884106914e-08,0.9681519424490328,6.795115884106914e-08,3971,phi0_s0.01_g0,7.018646129984534e-08,3971,phi0_s0.01_g0,2.6597296737154383e-05,phi0_s0.01_g0
center,0.69189039089357551,0.6918903908935755,0.6918903908935755,0.6918903908935755,0.0,0.0,,3971,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,6.795115884106914e-08,7.167803132397414,6.795115884106914e-08,6.795115884106914e-08,1.0,6.795115884106914e-08,3971,phi0_s0.01_g0,6.795115884106914e-08,3971,phi0_s0.01_g0,2.659622535173422e-05,phi0_s0.01_g0
delta_p1em08,0.69189040089357556,0.6918904008935756,0.6918903908935755,0.6918903908935755,9.999999999999999e-09,9.999999999999999e-09,-8.0,3971,phi0_s0.01_g0,phi0_s0.01_g0,phi1_s0.01_g0,6.578956148405893e-08,7.181843008354116,6.795115884106914e-08,6.795115884106914e-08,1.0328562359780127,6.795115884106914e-08,3971,phi0_s0.01_g0,6.578956148405893e-08,3971,phi1_s0.01_g0,2.6595252768100676e-05,phi1_s0.01_g0
delta_p1em07,0.69189049089357546,0.6918904908935755,0.6918903908935755,0.6918903908935755,1e-07,1e-07,-7.0,3971,phi0_s0.01_g0,phi0_s0.01_g0,phi1_s0.01_g0,4.9652126819410694e-08,7.304062144023556,6.795115884106914e-08,6.795115884106914e-08,1.3685447773106212,6.795115884106914e-08,3971,phi0_s0.01_g0,4.9652126819410694e-08,3971,phi1_s0.01_g0,2.659094598770849e-05,phi1_s0.01_g0
delta_p1em06,0.69189139089357554,0.6918913908935755,0.6918903908935755,0.6918903908935755,1e-06,1e-06,-6.0,3971,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,5.897177371148034e-08,7.229355809622162,6.795115884106914e-08,6.795115884106914e-08,1.1522658140404674,6.795115884106914e-08,3971,phi0_s0.01_g0,5.897116708450644e-08,2647,phi0_s0.01_g0,2.651401704737894e-05,phi0_s0.01_g0
delta_p1em05,0.69190039089357547,0.6919003908935755,0.6918903908935755,0.6918903908935755,1e-05,1e-05,-5.0,3971,phi0_s0.01_g0,phi0_s0.01_g0,phi1_s0.01_g0,3.6405663295204227e-07,6.438831051885483,6.795115884106914e-08,6.795115884106914e-08,0.18664996786370994,6.795115884106914e-08,3971,phi0_s0.01_g0,1.567435441905317e-08,3245,phi1_s0.01_g0,2.603257983431677e-05,phi1_s0.01_g0
delta_p1em04,0.6919903908935755,0.6919903908935755,0.6918903908935755,0.6918903908935755,9.999999999999998e-05,9.999999999999998e-05,-4.0,3971,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,3.419876871400022e-06,5.465989529918765,6.795115884106914e-08,6.795115884106914e-08,0.019869475246122363,6.795115884106914e-08,3971,phi0_s0.01_g0,1.7248892386631322e-08,2797,phi0_s0.01_g0,1.8259607579164412e-05,phi0_s0.01_g0
