case_id,mode,state_family,harmonic_packet_A,harmonic_packet_B,harmonic_packet_A_weights,harmonic_packet_B_weights,harmonic_packet_A_phases,harmonic_packet_B_phases,harmonic_packet_A_shift,harmonic_packet_B_shift,N_A,N_B,pair_kind,sweep_region,R,T,Delta_F,L_gap_min,L_gap_min_collision,N_eff_gap_at_L_gap_min,N_eff_gap_min,N_eff_gap_min_collision,max_B_to_A_transfer,B_to_A_transfer_collision,A_to_B_transfer_at_B_to_A_max,joint_score_min,joint_score_min_collision,tail_from_collision,tail_L_gap_min,tail_L_gap_max,tail_N_eff_gap_min,tail_N_eff_gap_max,joint_R_score
"custom_packet|A=1|B=1,2;w=1,0.5",custom_packet,explicit_packet,1,"1,2",1,"1,0.5",0,"0,0",0.0,0.0,1,2,one_side_high_harmonic,control,0.0,1.0,0.0,5.859375000000016e-05,1,0.20000000000000018,0.20000000000000018,0,1.0,1,0.9999999999999998,1.9999999999999987,1,232,5.859375000000016e-05,5.859375000000016e-05,0.20000000000000018,0.20000000000000018,2.0
"custom_packet|A=1|B=1,2;w=1,0.5",custom_packet,explicit_packet,1,"1,2",1,"1,0.5",0,"0,0",0.0,0.0,1,2,one_side_high_harmonic,control,0.5,0.4999999999999999,1.5707963267948968,0.0,3,4.440892098500626e-16,0.0,1,1.0,22,0.9999999999999998,0.009007569589678485,1,232,2.5478751053409354e-18,5.8593749999999645e-05,1.0658141036401503e-14,0.20000000000000018,0.0
"custom_packet|A=1|B=1,2;w=1,0.5",custom_packet,explicit_packet,1,"1,2",1,"1,0.5",0,"0,0",0.0,0.0,1,2,one_side_high_harmonic,coarse,0.6,0.4,1.7721542475852274,1.987745525381182e-06,242,0.00678483805996688,0.00678483805996688,242,0.9999999999999971,39,0.9999999999999984,0.07630862098669927,242,232,1.987745525381182e-06,5.859264683973485e-05,0.00678483805996688,0.19999623454629445,0.06784838059967602
"custom_packet|A=1|B=1,2;w=1,0.5",custom_packet,explicit_packet,1,"1,2",1,"1,0.5",0,"0,0",0.0,0.0,1,2,one_side_high_harmonic,coarse,0.61,0.39,1.792610797291691,2.738703322129445e-07,85,0.000934810733952407,0.000934810733952407,85,0.9999999999793563,170,0.9999999999904542,0.01843213704482891,85,232,8.215870639008264e-07,5.7904739928624536e-05,0.002804350511448117,0.19764817895637243,0.009348107360173313
"custom_packet|A=1|B=1,2;w=1,0.5",custom_packet,explicit_packet,1,"1,2",1,"1,0.5",0,"0,0",0.0,0.0,1,2,one_side_high_harmonic,coarse,0.62,0.37999999999999984,1.81316217783386,3.8907731023237954e-07,162,0.0013280505522588193,0.0013280505522588193,162,0.9999999998313831,149,0.9999999999220278,0.02217988523297769,162,232,2.8313281344226966e-06,5.8496901877447076e-05,0.009664266698828028,0.19966942507501861,0.013280505691210247
"custom_packet|A=1|B=1,2;w=1,0.5",custom_packet,explicit_packet,1,"1,2",1,"1,0.5",0,"0,0",0.0,0.0,1,2,one_side_high_harmonic,coarse,0.63,0.36999999999999994,1.8338185297033656,6.47965124504833e-08,215,0.00022117209583072395,0.00022117209583072395,215,0.9999999999959248,209,0.9999999999981156,0.011201237307283798,215,232,1.7841044769472845e-06,5.857809520643816e-05,0.006089743281312732,0.19994656497130903,0.002211720962383715
"custom_packet|A=1|B=1,2;w=1,0.5",custom_packet,explicit_packet,1,"1,2",1,"1,0.5",0,"0,0",0.0,0.0,1,2,one_side_high_harmonic,coarse,0.64,0.36,1.8545904360032246,7.289415689007255e-08,238,0.00024881205551841035,0.00024881205551841035,238,0.9999999996755439,227,0.9999999998499617,0.011516016390345897,238,232,7.289415689007255e-08,5.858070535182458e-05,0.00024881205551841035,0.19995547426756288,0.002488120879638747
"custom_packet|A=1|B=1,2;w=1,0.5",custom_packet,explicit_packet,1,"1,2",1,"1,0.5",0,"0,0",0.0,0.0,1,2,one_side_high_harmonic,coarse,0.65,0.34999999999999987,1.8754889808102944,1.6763800188312247e-07,232,0.0005722043797604659,0.0005722043797604659,232,0.9999999999966245,67,0.999999999998439,0.014682936059136346,232,232,1.6763800188312247e-07,5.818476441180607e-05,0.0005722043797604659,0.1986039958589645,0.005722043800983132
"custom_packet|A=1|B=1,2;w=1,0.5",custom_packet,explicit_packet,1,"1,2",1,"1,0.5",0,"0,0",0.0,0.0,1,2,one_side_high_harmonic,coarse,0.66,0.3400000000000001,1.8965258140895267,3.6798992342001536e-07,82,0.0012560722719414663,0.0012560722719414663,82,0.9999999999327107,164,0.9999999999688846,0.02167108718651057,82,232,1.103911711844061e-06,5.773899237181609e-05,0.0037680186430972817,0.19708242729580028,0.012560722786698189
"custom_packet|A=1|B=1,2;w=1,0.5",custom_packet,explicit_packet,1,"1,2",1,"1,0.5",0,"0,0",0.0,0.0,1,2,one_side_high_harmonic,coarse,0.67,0.32999999999999996,1.9177132243220585,7.110160494589899e-08,163,0.0002426934782171486,0.0002426934782171486,163,0.999999999952877,249,0.9999999999782098,0.011454330557063384,163,232,4.599612752432874e-07,5.858988193666259e-05,0.0015700011528292368,0.19998679701047473,0.002426934829285387
"custom_packet|A=1|B=1,2;w=1,0.5",custom_packet,explicit_packet,1,"1,2",1,"1,0.5",0,"0,0",0.0,0.0,1,2,one_side_high_harmonic,fine,0.68,0.32,1.9390642202315367,4.218876449103891e-07,64,0.001440043161293314,0.001440043161293314,64,0.9999999998837519,128,0.9999999999462447,0.023525890081869266,64,232,3.012278815314089e-06,5.8569449803147326e-05,0.010281911689604684,0.19991705532807713,0.014400431729185308
"custom_packet|A=1|B=1,2;w=1,0.5",custom_packet,explicit_packet,1,"1,2",1,"1,0.5",0,"0,0",0.0,0.0,1,2,one_side_high_harmonic,fine,0.681,0.31899999999999995,1.9412088415790294,8.579520227206894e-08,229,0.0002928476237551436,0.0002928476237551436,229,0.9999999999907618,123,0.9999999999957281,0.01191214508212471,229,232,4.323484172197864e-06,5.858689948224372e-05,0.014757492641099823,0.19997661689939217,0.0029284762467905218
"custom_packet|A=1|B=1,2;w=1,0.5",custom_packet,explicit_packet,1,"1,2",1,"1,0.5",0,"0,0",0.0,0.0,1,2,one_side_high_harmonic,fine,0.682,0.3179999999999999,1.943355250540569,1.5936743141624875e-08,156,5.439741658741504e-05,5.439741658741504e-05,156,0.9999999999740319,97,0.999999999987992,0.009555986126453695,156,232,5.641377660564194e-07,5.854525461658556e-05,0.0019255902414700987,0.19983446909127967,0.0005439741918555886
"custom_packet|A=1|B=1,2;w=1,0.5",custom_packet,explicit_packet,1,"1,2",1,"1,0.5",0,"0,0",0.0,0.0,1,2,one_side_high_harmonic,fine,0.683,0.3169999999999999,1.9455034615072684,1.390537941545894e-07,109,0.0004746369507142578,0.0004746369507142578,109,0.9999999999986279,218,0.9999999999993655,0.01371521409480472,109,232,3.066170320602105e-06,5.858247893612329e-05,0.010465861360990036,0.19996152810196843,0.004746369508515064
"custom_packet|A=1|B=1,2;w=1,0.5",custom_packet,explicit_packet,1,"1,2",1,"1,0.5",0,"0,0",0.0,0.0,1,2,one_side_high_harmonic,fine,0.684,0.31599999999999995,1.9476534889640587,1.9622462581431015e-07,25,0.0006697800561137335,0.0006697800561137335,25,0.9999999999945596,50,0.9999999999974843,0.015760127273922602,25,232,1.7504394912283105e-06,5.8560896112635656e-05,0.0059748334633937805,0.1998878587311288,0.006697800566573308
