case_id,mode,state_family,harmonic_packet_A,harmonic_packet_B,harmonic_packet_A_weights,harmonic_packet_B_weights,harmonic_packet_A_phases,harmonic_packet_B_phases,harmonic_packet_A_shift,harmonic_packet_B_shift,N_A,N_B,pair_kind,sweep_region,R,T,Delta_F,L_gap_min,L_gap_min_collision,N_eff_gap_at_L_gap_min,N_eff_gap_min,N_eff_gap_min_collision,max_B_to_A_transfer,B_to_A_transfer_collision,A_to_B_transfer_at_B_to_A_max,joint_score_min,joint_score_min_collision,tail_from_collision,tail_L_gap_min,tail_L_gap_max,tail_N_eff_gap_min,tail_N_eff_gap_max,joint_R_score
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,control,0.0,1.0,0.0,3.7947076036992655e-19,0,0.0,0.0,0,0.9999999999999999,0,0.9999999999999999,1.0,0,232,3.7947076036992655e-19,3.7947076036992655e-19,2.220446049250313e-16,2.220446049250313e-16,1.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,control,0.5,0.4999999999999999,1.5707963267948968,0.0,5,2.220446049250313e-16,0.0,0,1.0,1,0.9999999999999998,0.0,13,232,0.0,4.87890977618477e-19,0.0,4.440892098500626e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,coarse,0.6,0.4,1.7721542475852274,0.0,3,0.0,0.0,0,1.0,2,0.9999999999999999,0.0,3,232,0.0,7.047314121155779e-19,0.0,3.3306690738754696e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,coarse,0.61,0.39,1.792610797291691,0.0,7,0.0,0.0,0,1.0,1,0.9999999999999999,0.0,7,232,5.421010862427522e-20,5.149960319306146e-19,0.0,3.3306690738754696e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,coarse,0.62,0.37999999999999984,1.81316217783386,0.0,7,2.220446049250313e-16,0.0,0,1.0,2,0.9999999999999998,0.0,20,232,0.0,5.963111948670274e-19,0.0,4.440892098500626e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,coarse,0.63,0.36999999999999994,1.8338185297033656,0.0,5,0.0,0.0,0,1.0,1,0.9999999999999998,0.0,44,232,0.0,5.421010862427522e-19,0.0,2.220446049250313e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,coarse,0.64,0.36,1.8545904360032246,0.0,21,0.0,0.0,0,1.0,1,0.9999999999999998,0.0,45,232,0.0,5.963111948670274e-19,0.0,4.440892098500626e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,coarse,0.65,0.34999999999999987,1.8754889808102944,0.0,12,0.0,0.0,0,1.0,2,0.9999999999999998,0.0,70,232,0.0,4.87890977618477e-19,0.0,3.3306690738754696e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,coarse,0.66,0.3400000000000001,1.8965258140895267,0.0,4,0.0,0.0,0,1.0,1,1.0,0.0,4,232,2.710505431213761e-20,4.87890977618477e-19,0.0,2.220446049250313e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,coarse,0.67,0.32999999999999996,1.9177132243220585,0.0,24,1.1102230246251565e-16,0.0,0,1.0,2,1.0,0.0,110,232,2.710505431213761e-20,4.87890977618477e-19,0.0,2.220446049250313e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.68,0.32,1.9390642202315367,0.0,38,3.3306690738754696e-16,0.0,0,1.0,1,0.9999999999999998,0.0,64,232,0.0,6.776263578034403e-19,0.0,3.3306690738754696e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.681,0.31899999999999995,1.9412088415790294,0.0,7,0.0,0.0,0,1.0,1,0.9999999999999998,0.0,84,232,0.0,7.047314121155779e-19,0.0,3.3306690738754696e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.682,0.3179999999999999,1.943355250540569,0.0,1,1.1102230246251565e-16,0.0,0,1.0,1,1.0,0.0,222,232,0.0,5.421010862427522e-19,0.0,2.220446049250313e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.683,0.3169999999999999,1.9455034615072684,0.0,51,0.0,0.0,0,1.0,1,1.0,0.0,54,232,0.0,5.421010862427522e-19,0.0,2.220446049250313e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.684,0.31599999999999995,1.9476534889640587,0.0,5,2.220446049250313e-16,0.0,0,1.0,2,0.9999999999999998,0.0,7,232,0.0,5.421010862427522e-19,0.0,4.440892098500626e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.685,0.315,1.9498053474908474,0.0,3,2.220446049250313e-16,0.0,0,1.0,2,0.9999999999999999,0.0,6,232,0.0,4.607859233063394e-19,0.0,3.3306690738754696e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.686,0.31399999999999983,1.9519590517636924,0.0,9,0.0,0.0,0,1.0,1,0.9999999999999998,0.0,9,232,0.0,8.131516293641283e-19,0.0,3.3306690738754696e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.686671465671,0.313328534329,1.9534062333965672,0.0,6,3.3306690738754696e-16,0.0,0,1.0,1,0.9999999999999998,0.0,17,232,0.0,8.402566836762659e-19,0.0,4.440892098500626e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.687,0.31299999999999983,1.9541146165559913,0.0,4,0.0,0.0,0,1.0,2,0.9999999999999998,0.0,4,232,2.710505431213761e-20,6.505213034913027e-19,0.0,3.3306690738754696e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.688,0.312,1.956272056739689,0.0,9,0.0,0.0,0,1.0,1,1.0,0.0,9,232,0.0,4.607859233063394e-19,0.0,4.440892098500626e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.689,0.3110000000000001,1.958431387286502,0.0,25,2.220446049250313e-16,0.0,0,1.0,2,0.9999999999999998,0.0,51,232,0.0,6.505213034913027e-19,0.0,3.3306690738754696e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.69,0.31000000000000005,1.960592623269157,0.0,21,2.220446049250313e-16,0.0,0,1.0,2,0.9999999999999998,0.0,78,232,0.0,7.589415207398531e-19,0.0,3.3306690738754696e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.691,0.309,1.96275577986265,0.0,1,0.0,0.0,0,1.0,5,0.9999999999999999,0.0,49,232,0.0,5.963111948670274e-19,0.0,4.440892098500626e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.692,0.308,1.964920872345521,0.0,1,2.220446049250313e-16,0.0,0,1.0,1,0.9999999999999998,0.0,55,232,0.0,6.505213034913027e-19,0.0,2.220446049250313e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.693,0.30699999999999994,1.9670879161011485,0.0,12,2.220446049250313e-16,0.0,0,1.0,1,0.9999999999999998,0.0,90,232,0.0,5.421010862427522e-19,0.0,4.440892098500626e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.694,0.3060000000000001,1.9692569266190612,0.0,7,0.0,0.0,0,1.0,1,0.9999999999999998,0.0,7,232,0.0,4.0657581468206416e-19,0.0,4.440892098500626e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.695,0.3050000000000001,1.9714279194962683,0.0,12,2.220446049250313e-16,0.0,0,1.0,1,1.0,0.0,30,232,0.0,5.149960319306146e-19,0.0,4.440892098500626e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.696,0.304,1.9736009104386096,0.0,4,2.220446049250313e-16,0.0,0,1.0,3,0.9999999999999999,0.0,5,232,0.0,5.421010862427522e-19,0.0,3.3306690738754696e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.697,0.30299999999999994,1.9757759152621237,0.0,9,0.0,0.0,0,1.0,1,0.9999999999999998,0.0,96,232,0.0,4.336808689942018e-19,0.0,2.220446049250313e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.697177879128,0.30282212087199994,1.9761630154073937,0.0,34,0.0,0.0,0,1.0,1,0.9999999999999998,0.0,64,232,0.0,4.336808689942018e-19,0.0,4.440892098500626e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.698,0.30200000000000005,1.977952949894437,0.0,1,2.220446049250313e-16,0.0,0,1.0,1,0.9999999999999998,0.0,47,232,0.0,5.421010862427522e-19,0.0,4.440892098500626e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.699,0.301,1.980132030376174,0.0,24,2.220446049250313e-16,0.0,0,1.0,1,0.9999999999999998,0.0,61,232,0.0,5.421010862427522e-19,0.0,3.3306690738754696e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.7,0.29999999999999993,1.9823131728623846,0.0,24,2.220446049250313e-16,0.0,0,1.0,6,0.9999999999999998,0.0,68,232,0.0,4.87890977618477e-19,0.0,3.3306690738754696e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.701,0.29900000000000015,1.984496393623995,0.0,7,0.0,0.0,0,1.0,1,0.9999999999999998,0.0,7,232,0.0,6.776263578034403e-19,0.0,2.220446049250313e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.702,0.29800000000000004,1.98668170904928,0.0,2,2.220446049250313e-16,0.0,0,1.0,2,0.9999999999999998,0.0,69,232,0.0,5.421010862427522e-19,0.0,2.220446049250313e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.703,0.29700000000000015,1.9888691356453547,0.0,4,0.0,0.0,0,1.0,1,0.9999999999999998,0.0,142,232,0.0,7.047314121155779e-19,0.0,4.440892098500626e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.704,0.29599999999999993,1.9910586900396907,0.0,11,0.0,0.0,0,1.0,1,1.0,0.0,11,232,2.710505431213761e-20,5.963111948670274e-19,0.0,3.3306690738754696e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.705,0.29499999999999993,1.9932503889816524,0.0,4,0.0,0.0,0,1.0,1,0.9999999999999998,0.0,4,232,0.0,4.336808689942018e-19,0.0,4.440892098500626e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.706,0.29400000000000004,1.9954442493440592,0.0,20,0.0,0.0,0,1.0,1,1.0,0.0,20,232,0.0,5.149960319306146e-19,0.0,2.220446049250313e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.707,0.29300000000000004,1.9976402881247686,0.0,7,0.0,0.0,0,1.0,1,0.9999999999999998,0.0,7,232,0.0,5.963111948670274e-19,0.0,2.220446049250313e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.708,0.29200000000000004,1.999838522448283,0.0,8,0.0,0.0,0,1.0,2,0.9999999999999998,0.0,8,232,0.0,6.505213034913027e-19,0.0,2.220446049250313e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.709,0.29100000000000004,2.002038969567383,0.0,20,0.0,0.0,0,1.0,1,0.9999999999999998,0.0,20,232,0.0,4.336808689942018e-19,0.0,3.3306690738754696e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,fine,0.71,0.2900000000000002,2.004241646864782,0.0,6,0.0,0.0,0,1.0,6,0.9999999999999998,0.0,6,232,0.0,5.963111948670274e-19,0.0,2.220446049250313e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,coarse,0.72,0.28,2.02639500019072,0.0,10,0.0,0.0,0,1.0,5,0.9999999999999998,0.0,10,232,0.0,5.421010862427522e-19,0.0,2.220446049250313e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,coarse,0.73,0.2700000000000001,2.048791525313849,0.0,2,0.0,0.0,0,1.0,2,0.9999999999999998,0.0,2,232,0.0,4.87890977618477e-19,0.0,4.440892098500626e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,coarse,0.74,0.26,2.0714510391994847,0.0,10,2.220446049250313e-16,0.0,0,1.0,1,0.9999999999999998,0.0,44,232,0.0,5.963111948670274e-19,0.0,2.220446049250313e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,coarse,0.75,0.2500000000000001,2.0943951023931953,0.0,2,3.3306690738754696e-16,0.0,0,1.0,1,1.0,0.0,20,232,2.168404344971009e-19,9.215718466126788e-19,0.0,6.661338147750939e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,coarse,0.76,0.24000000000000013,2.1176472774908404,0.0,6,2.220446049250313e-16,0.0,0,1.0,2,0.9999999999999998,0.0,74,232,0.0,4.607859233063394e-19,0.0,3.3306690738754696e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,coarse,0.77,0.22999999999999995,2.1412334361948187,0.0,15,0.0,0.0,0,1.0,2,0.9999999999999998,0.0,15,232,0.0,5.963111948670274e-19,0.0,4.440892098500626e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,coarse,0.78,0.22000000000000003,2.165182126795959,0.0,11,2.220446049250313e-16,0.0,0,1.0,5,0.9999999999999998,0.0,137,232,0.0,5.421010862427522e-19,0.0,3.3306690738754696e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,coarse,0.79,0.20999999999999994,2.189525017467148,0.0,4,0.0,0.0,0,1.0,2,0.9999999999999998,0.0,4,232,0.0,7.047314121155779e-19,0.0,2.220446049250313e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,coarse,0.8,0.2000000000000001,2.214297435588181,0.0,2,0.0,0.0,0,1.0,1,0.9999999999999998,0.0,2,232,0.0,7.047314121155779e-19,0.0,2.220446049250313e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,coarse,0.81,0.18999999999999997,2.2395390299972684,0.0,34,2.220446049250313e-16,0.0,0,1.0,1,0.9999999999999998,0.0,74,232,0.0,4.607859233063394e-19,0.0,3.3306690738754696e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,coarse,0.82,0.18000000000000013,2.2652945924214523,0.0,20,0.0,0.0,0,1.0,2,0.9999999999999999,0.0,20,232,2.710505431213761e-20,7.318364664277155e-19,0.0,2.220446049250313e-16,0.0
odd_kernel|A=1|B=1,odd_kernel,odd_kernel,1,1,1,1,0,0,0.0,0.0,1,1,same_harmonic_control,coarse,0.83,0.16999999999999982,2.2916150876649866,0.0,13,2.220446049250313e-16,0.0,0,1.0,3,0.9999999999999999,0.0,30,232,0.0,5.421010862427522e-19,0.0,6.661338147750939e-16,0.0
