case_id,mode,state_family,harmonic_packet_A,harmonic_packet_B,N_A,N_B,R_input,R,T,Delta_F,collision,channel,L,N_eff,N_eff_2,p_chi,origin_A,origin_B,sim_to_A0,sim_to_B0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,0,A_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,0,B_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,1,A_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,1,B_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,2,A_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,2,B_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,3,A_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,3,B_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,4,A_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,4,B_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,5,A_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,5,B_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,6,A_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,6,B_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,7,A_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,7,B_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,8,A_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,8,B_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,9,A_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,9,B_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,10,A_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,10,B_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,11,A_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,11,B_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,12,A_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,12,B_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,13,A_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,13,B_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,14,A_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,14,B_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,15,A_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,15,B_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,16,A_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,16,B_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,17,A_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,17,B_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,18,A_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,18,B_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,19,A_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,19,B_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,20,A_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,20,B_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,21,A_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,21,B_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,22,A_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,22,B_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,23,A_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,23,B_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,24,A_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,24,B_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,25,A_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,25,B_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,26,A_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,26,B_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,27,A_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,27,B_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,28,A_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,28,B_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,29,A_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,29,B_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,30,A_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,30,B_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,31,A_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,31,B_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,32,A_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,32,B_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,33,A_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,33,B_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,34,A_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,34,B_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,35,A_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,35,B_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,36,A_channel,0.00018310546875000033,1.0,1.4142135623730951,1.0000000000000009,1.0,1.3659170527620971e-34,0.9999999999999998,0.40824829046386324
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,36,B_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
"even_packet|A=1|B=1,2,4,6",even_packet,explicit_packet,1,"1,2,4,6",1,6,0.0,0.0,1.0,0.0,37,A_channel,0.0004730224609374998,3.25,3.905124837953327,-0.9999999999999998,1.3659170527620971e-34,1.0000000000000004,0.40824829046386324,1.0
