case_id,mode,state_family,harmonic_packet_A,harmonic_packet_B,harmonic_packet_A_weights,harmonic_packet_B_weights,harmonic_packet_A_phases,harmonic_packet_B_phases,harmonic_packet_A_shift,harmonic_packet_B_shift,N_A,N_B,pair_kind,sweep_region,R,T,Delta_F,L_gap_min,L_gap_min_collision,N_eff_gap_at_L_gap_min,N_eff_gap_min,N_eff_gap_min_collision,max_B_to_A_transfer,B_to_A_transfer_collision,A_to_B_transfer_at_B_to_A_max,joint_score_min,joint_score_min_collision,tail_from_collision,tail_L_gap_min,tail_L_gap_max,tail_N_eff_gap_min,tail_N_eff_gap_max,joint_R_score
"custom_packet|A=1|B=1,2;p=0,0.628318530718",custom_packet,explicit_packet,1,"1,2",1,"1,1",0,"0,0.628318530718",0.0,0.0,1,2,one_side_high_harmonic,control,0.0,1.0,0.0,9.155273437499935e-05,1,0.5,0.5,0,1.0,1,0.9999999999999998,1.9999999999999978,1,232,9.155273437499935e-05,9.155273437499957e-05,0.5,0.5,1.9999999999999996
"custom_packet|A=1|B=1,2;p=0,0.628318530718",custom_packet,explicit_packet,1,"1,2",1,"1,1",0,"0,0.628318530718",0.0,0.0,1,2,one_side_high_harmonic,control,0.5,0.4999999999999999,1.5707963267948968,0.0,11,1.1102230246251565e-15,2.220446049250313e-16,1,1.0,2,0.9999999999999998,0.10557280900008541,1,232,4.2825985813177425e-18,9.155273437499984e-05,2.6201263381153694e-14,0.5000000000000004,4.440892098500626e-16
"custom_packet|A=1|B=1,2;p=0,0.628318530718",custom_packet,explicit_packet,1,"1,2",1,"1,1",0,"0,0.628318530718",0.0,0.0,1,2,one_side_high_harmonic,coarse,0.6,0.4,1.7721542475852274,3.1058523834074465e-06,242,0.0169620951499172,0.0169620951499172,242,0.9999999999999658,39,0.9999999999999913,0.1673952261678084,242,232,3.1058523834074465e-06,9.155101068708551e-05,0.0169620951499172,0.4999905863657357,0.06784838059970055
"custom_packet|A=1|B=1,2;p=0,0.628318530718",custom_packet,explicit_packet,1,"1,2",1,"1,1",0,"0,0.628318530718",0.0,0.0,1,2,one_side_high_harmonic,coarse,0.61,0.39,1.792610797291691,4.2792239408196006e-07,85,0.0023370268348805734,0.0023370268348805734,85,0.9999999997613593,170,0.9999999999403384,0.11575781444268672,85,232,1.2837297873444144e-06,9.047615613847618e-05,0.007010876278619849,0.4941204473909304,0.009348107578161064
"custom_packet|A=1|B=1,2;p=0,0.628318530718",custom_packet,explicit_packet,1,"1,2",1,"1,1",0,"0,0.628318530718",0.0,0.0,1,2,one_side_high_harmonic,coarse,0.62,0.37999999999999984,1.81316217783386,6.079332972378491e-07,162,0.003320126380646604,0.003320126380646604,162,0.9999999980507466,149,0.9999999995126562,0.11766705800427502,162,232,4.4239502100343895e-06,9.140140918351033e-05,0.02416066674706996,0.499173562687546,0.01328050747184329
"custom_packet|A=1|B=1,2;p=0,0.628318530718",custom_packet,explicit_packet,1,"1,2",1,"1,1",0,"0,0.628318530718",0.0,0.0,1,2,one_side_high_harmonic,coarse,0.63,0.36999999999999994,1.8338185297033656,1.0124455070381578e-07,215,0.0005529302395768099,0.0005529302395768099,215,0.9999999999528928,209,0.999999999988223,0.10758675142316669,215,232,2.787663245229705e-06,9.15282737600595e-05,0.015224358203281163,0.4998664124282728,0.002211721005415046
"custom_packet|A=1|B=1,2;p=0,0.628318530718",custom_packet,explicit_packet,1,"1,2",1,"1,1",0,"0,0.628318530718",0.0,0.0,1,2,one_side_high_harmonic,coarse,0.64,0.36,1.8545904360032246,1.138971201407519e-07,238,0.0006220301387955818,0.0006220301387955818,238,0.9999999962491732,227,0.999999999062212,0.10828352912599826,238,232,1.138971201407519e-07,9.15323521122262e-05,0.0006220301387955818,0.49988868566890643,0.002488124306008652
"custom_packet|A=1|B=1,2;p=0,0.628318530718",custom_packet,explicit_packet,1,"1,2",1,"1,1",0,"0,0.628318530718",0.0,0.0,1,2,one_side_high_harmonic,coarse,0.65,0.34999999999999987,1.8754889808102944,2.619343779421417e-07,232,0.0014305109494010537,0.0014305109494010537,232,0.9999999999609799,67,0.9999999999902449,0.110783351331385,232,232,2.619343779421417e-07,9.091369439344766e-05,0.0014305109494010537,0.4965099896474121,0.005722043836624947
"custom_packet|A=1|B=1,2;p=0,0.628318530718",custom_packet,explicit_packet,1,"1,2",1,"1,1",0,"0,0.628318530718",0.0,0.0,1,2,one_side_high_harmonic,coarse,0.66,0.3400000000000001,1.8965258140895267,5.749842553441501e-07,82,0.0031401806798536658,0.0031401806798536658,82,0.9999999992221273,164,0.9999999998055241,0.11925839921547006,82,232,1.7248620497578972e-06,9.021717558096339e-05,0.00942004660774387,0.49270606823950014,0.012560723497285733
"custom_packet|A=1|B=1,2;p=0,0.628318530718",custom_packet,explicit_packet,1,"1,2",1,"1,1",0,"0,0.628318530718",0.0,0.0,1,2,one_side_high_harmonic,coarse,0.67,0.32999999999999996,1.9177132243220585,1.1109625772868885e-07,163,0.0006067336955424274,0.0006067336955424274,163,0.9999999994552533,249,0.9999999998638088,0.10821686804620949,163,232,7.186894925666947e-07,9.154669052603552e-05,0.003925002882073869,0.49996699252618626,0.002426935326916114
"custom_packet|A=1|B=1,2;p=0,0.628318530718",custom_packet,explicit_packet,1,"1,2",1,"1,1",0,"0,0.628318530718",0.0,0.0,1,2,one_side_high_harmonic,fine,0.68,0.32,1.9390642202315367,6.591994451718257e-07,64,0.003600107903232619,0.003600107903232619,64,0.9999999986561461,128,0.9999999996640191,0.121263095832458,64,232,4.706685648927925e-06,9.151476531741806e-05,0.02570477922401171,0.4997926383201925,0.014400432956782665
"custom_packet|A=1|B=1,2;p=0,0.628318530718",custom_packet,explicit_packet,1,"1,2",1,"1,1",0,"0,0.628318530718",0.0,0.0,1,2,one_side_high_harmonic,fine,0.681,0.31899999999999995,1.9412088415790294,1.340550035504296e-07,229,0.0007321190593883031,0.0007321190593883031,229,0.9999999998932059,123,0.999999999973301,0.10823943117831814,229,232,6.755444019057957e-06,9.154203044100566e-05,0.036893731602749114,0.49994154224848053,0.0029284763443509043
