case_id,mode,harmonic_packet_A,harmonic_packet_B,N_A,N_B,R,T,Delta_F,condition_id,step,p_A,p_B,S,Q
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g-0.002_noise0_seed0,0,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g-0.002_noise0_seed0,1,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g-0.002_noise0_seed0,2,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g-0.002_noise0_seed0,3,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g-0.002_noise0_seed0,5,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g-0.002_noise0_seed0,10,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g-0.002_noise0_seed0,20,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g-0.002_noise0_seed0,42,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g-0.002_noise0_seed0,64,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g-0.002_noise0_seed0,128,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g-0.002_noise0_seed0,256,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g-0.002_noise0_seed0,4096,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0_noise0_seed0,0,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0_noise0_seed0,1,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0_noise0_seed0,2,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0_noise0_seed0,3,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0_noise0_seed0,5,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0_noise0_seed0,10,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0_noise0_seed0,20,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0_noise0_seed0,42,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0_noise0_seed0,64,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0_noise0_seed0,128,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0_noise0_seed0,256,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0_noise0_seed0,4096,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0.002_noise0_seed0,0,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0.002_noise0_seed0,1,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0.002_noise0_seed0,2,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0.002_noise0_seed0,3,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0.002_noise0_seed0,5,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0.002_noise0_seed0,10,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0.002_noise0_seed0,20,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0.002_noise0_seed0,42,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0.002_noise0_seed0,64,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0.002_noise0_seed0,128,0.5,0.5,0.0,1.0000000000000002
