peak_rank,peak_kind,R_peak,score_C,stability_depth,q_out_factor,q_out_factor_diagnostic,q_out_factor_applied,full_two_channel_scattering_used_rate,max_scattering_unitarity_error,harmonic_valid_rate_nonstrong,c1_area_valid_rate,c1_calibrated_rate,distance_to_R_137,distance_to_R_128_nominal
1,local_min,0.629,0.9949535051579352,0.0021972136514019414,-0.2580000000000002,-0.2580000000000002,False,1.0,6.245004513516506e-17,1.0,1.0,0.25,0.06817787912824735,0.05767146567112502
2,local_min,0.66,0.9949637341945585,0.002192748727863548,-0.31999999999999995,-0.31999999999999995,False,1.0,5.551115123125783e-17,1.0,1.0,0.25,0.037177879128247326,0.026671465671124994
3,local_min,0.690671465671,0.9949722605137112,0.002189027067097736,-0.381342931342,-0.381342931342,False,1.0,6.245004513516506e-17,1.0,1.0,0.25,0.00650641345724734,0.0039999999998749924
4,local_min,0.613,0.995246547097324,0.0020693204800413412,-0.2260000000000001,-0.2260000000000001,False,1.0,6.245004513516506e-17,1.0,1.0,0.25,0.08417787912824737,0.07367146567112504
5,local_min,0.645,0.9952609189359016,0.0020630491042281864,-0.29,-0.29,False,1.0,5.551115123125783e-17,1.0,1.0,0.25,0.05217787912824734,0.04167146567112501
6,local_min,0.675671465671,0.9952661372093654,0.0020607720516622433,-0.35134293134200006,-0.35134293134200006,False,1.0,6.245004513516506e-17,1.0,1.0,0.25,0.021506413457247353,0.011000000000125021
7,local_min,0.706,0.9952767090538861,0.002056158944491466,-0.4119999999999999,-0.4119999999999999,False,1.0,6.245004513516506e-17,1.0,1.0,0.25,0.008822120871752603,0.019328534328874936
8,local_min,0.764,0.9952997276671107,0.0020461147617908686,-0.5279999999999995,-0.5279999999999995,False,1.0,6.938893903907228e-17,1.0,1.0,0.25,0.06682212087175265,0.07732853432887499
9,local_min,0.791,0.9953059885862237,0.002043382846977004,-0.582,-0.582,False,1.0,6.245004513516506e-17,1.0,1.0,0.25,0.09382212087175268,0.10432853432887501
10,local_min,0.73,0.9953411740654082,0.0020280301920803734,-0.4599999999999999,-0.4599999999999999,False,1.0,6.245004513516506e-17,1.0,1.0,0.25,0.032822120871752625,0.04332853432887496
11,local_min,0.84,0.995342494782556,0.002027453927575468,-0.6799999999999999,-0.6799999999999999,False,1.0,5.551115123125783e-17,1.0,1.0,0.25,0.1428221208717526,0.15332853432887494
12,probe_R137,0.697177879128,0.9953541922638128,0.0020223500344559086,-0.39435575825600017,-0.39435575825600017,False,1.0,6.245004513516506e-17,1.0,1.0,0.25,2.473576898864849e-13,0.010506413456874975
13,probe_alpha128_nominal,0.686671465671,0.9953613191074889,0.0020192404501237935,-0.3733429313419999,-0.3733429313419999,False,1.0,5.551115123125783e-17,1.0,1.0,0.25,0.010506413457247343,1.2501111257279263e-13
